Lon	Lat	Country
19.75	40.25	Albania
19.75	40.75	Albania
19.75	41.25	Albania
19.75	41.75	Albania
19.75	42.25	Albania
20.25	39.75	Albania
20.25	40.25	Albania
20.25	40.75	Albania
20.25	41.25	Albania
20.25	41.75	Albania
20.25	42.25	Albania
20.75	40.75	Albania
19.75	40.75	Albania
19.75	41.25	Albania
19.75	41.75	Albania
19.75	42.25	Albania
20.25	39.75	Albania
20.25	40.25	Albania
20.25	40.75	Albania
20.25	41.25	Albania
20.25	41.75	Albania
20.25	42.25	Albania
20.75	40.75	Albania
9.75	47.25	Austria
10.25	47.25	Austria
10.75	47.25	Austria
11.25	47.25	Austria
11.75	47.25	Austria
12.25	47.25	Austria
12.75	46.75	Austria
12.75	47.25	Austria
13.25	46.75	Austria
13.25	47.25	Austria
13.25	47.75	Austria
13.25	48.25	Austria
13.75	46.75	Austria
13.75	47.25	Austria
13.75	47.75	Austria
13.75	48.25	Austria
14.25	46.75	Austria
14.25	47.25	Austria
14.25	47.75	Austria
14.25	48.25	Austria
14.75	46.75	Austria
14.75	47.25	Austria
14.75	47.75	Austria
14.75	48.25	Austria
15.25	46.75	Austria
15.25	47.25	Austria
15.25	47.75	Austria
15.25	48.25	Austria
15.25	48.75	Austria
15.75	46.75	Austria
15.75	47.25	Austria
15.75	47.75	Austria
15.75	48.25	Austria
15.75	48.75	Austria
16.25	47.25	Austria
16.25	47.75	Austria
16.25	48.25	Austria
16.75	47.75	Austria
16.75	48.25	Austria
23.25	52.25	Belarus
23.75	51.75	Belarus
23.75	52.25	Belarus
23.75	53.75	Belarus
24.25	51.75	Belarus
24.25	52.25	Belarus
24.25	52.75	Belarus
24.25	53.25	Belarus
24.25	53.75	Belarus
24.75	52.25	Belarus
24.75	52.75	Belarus
24.75	53.25	Belarus
24.75	53.75	Belarus
25.25	52.25	Belarus
25.25	52.75	Belarus
25.25	53.25	Belarus
25.25	53.75	Belarus
25.25	54.25	Belarus
25.75	52.25	Belarus
25.75	52.75	Belarus
25.75	53.25	Belarus
25.75	53.75	Belarus
25.75	54.75	Belarus
26.25	52.25	Belarus
26.25	52.75	Belarus
26.25	53.25	Belarus
26.25	53.75	Belarus
26.25	54.25	Belarus
26.25	54.75	Belarus
26.75	52.25	Belarus
26.75	52.75	Belarus
26.75	53.25	Belarus
26.75	53.75	Belarus
26.75	54.25	Belarus
26.75	54.75	Belarus
27.25	51.75	Belarus
27.25	52.25	Belarus
27.25	52.75	Belarus
27.25	53.25	Belarus
27.25	53.75	Belarus
27.25	54.25	Belarus
27.25	54.75	Belarus
27.25	55.25	Belarus
27.25	55.75	Belarus
27.75	51.75	Belarus
27.75	52.25	Belarus
27.75	52.75	Belarus
27.75	53.25	Belarus
27.75	53.75	Belarus
27.75	54.25	Belarus
27.75	54.75	Belarus
27.75	55.25	Belarus
27.75	55.75	Belarus
28.25	51.75	Belarus
28.25	52.25	Belarus
28.25	52.75	Belarus
28.25	53.25	Belarus
28.25	53.75	Belarus
28.25	54.25	Belarus
28.25	54.75	Belarus
28.25	55.25	Belarus
28.25	55.75	Belarus
28.75	51.75	Belarus
28.75	52.25	Belarus
28.75	52.75	Belarus
28.75	53.25	Belarus
28.75	53.75	Belarus
28.75	54.25	Belarus
28.75	54.75	Belarus
28.75	55.25	Belarus
28.75	55.75	Belarus
29.25	51.75	Belarus
29.25	52.25	Belarus
29.25	52.75	Belarus
29.25	53.25	Belarus
29.25	53.75	Belarus
29.25	54.25	Belarus
29.25	54.75	Belarus
29.25	55.25	Belarus
29.25	55.75	Belarus
29.75	51.75	Belarus
29.75	52.25	Belarus
29.75	52.75	Belarus
29.75	53.25	Belarus
29.75	53.75	Belarus
29.75	54.25	Belarus
29.75	54.75	Belarus
29.75	55.25	Belarus
29.75	55.75	Belarus
30.25	51.75	Belarus
30.25	52.25	Belarus
30.25	52.75	Belarus
30.25	53.25	Belarus
30.25	53.75	Belarus
30.25	54.25	Belarus
30.25	54.75	Belarus
30.25	55.25	Belarus
30.25	55.75	Belarus
30.75	52.25	Belarus
30.75	52.75	Belarus
30.75	53.25	Belarus
30.75	53.75	Belarus
30.75	54.25	Belarus
30.75	54.75	Belarus
30.75	55.25	Belarus
31.25	52.25	Belarus
31.25	52.75	Belarus
31.25	53.25	Belarus
31.25	53.75	Belarus
31.25	54.25	Belarus
31.75	53.25	Belarus
31.75	53.75	Belarus
32.25	53.25	Belarus
32.25	53.75	Belarus
3.25	50.75	Belgium
3.25	51.25	Belgium
3.75	50.75	Belgium
3.75	51.25	Belgium
4.25	50.25	Belgium
4.25	50.75	Belgium
4.25	51.25	Belgium
4.75	50.25	Belgium
4.75	50.75	Belgium
4.75	51.25	Belgium
5.25	49.75	Belgium
5.25	50.25	Belgium
5.25	50.75	Belgium
5.25	51.25	Belgium
5.75	49.75	Belgium
5.75	50.25	Belgium
5.75	50.75	Belgium
16.25	44.25	Bosnia
16.25	44.75	Bosnia
16.75	44.25	Bosnia
16.75	44.75	Bosnia
17.25	43.75	Bosnia
17.25	44.25	Bosnia
17.25	44.75	Bosnia
17.75	43.25	Bosnia
17.75	43.75	Bosnia
17.75	44.25	Bosnia
17.75	44.75	Bosnia
18.25	42.75	Bosnia
18.25	43.25	Bosnia
18.25	43.75	Bosnia
18.25	44.25	Bosnia
18.25	44.75	Bosnia
18.75	43.75	Bosnia
18.75	44.25	Bosnia
18.75	44.75	Bosnia
19.25	43.75	Bosnia
19.25	44.25	Bosnia
19.25	44.75	Bosnia
22.75	42.25	Bulgaria
22.75	42.75	Bulgaria
22.75	43.75	Bulgaria
23.25	41.75	Bulgaria
