Lon	Lat
-95.75	31.75
88.75	32.75
58.75	58.75
-54.75	-6.75
-86.25	55.75
42.75	44.75
-66.75	-0.75
-63.25	3.25
127.75	34.75
-71.25	-48.25
123.75	56.75
36.25	18.25
58.75	67.75
-112.25	36.75
138.75	-2.25
20.25	-28.75
-99.75	16.75
147.25	-30.25
-85.25	45.25
56.75	46.25
103.25	76.25
-67.75	-47.25
-66.25	-21.25
-107.75	45.75
56.75	34.25
44.25	28.25
46.75	65.25
21.75	6.75
96.75	40.25
118.75	45.25
71.75	69.25
87.25	42.75
140.75	-28.25
127.75	38.25
-99.25	53.75
54.25	72.25
134.25	-26.75
151.75	61.25
-104.75	47.75
72.75	64.75
-66.75	51.75
76.25	41.25
15.75	-11.25
30.25	9.25
34.75	10.25
-71.75	-35.75
-3.25	27.75
-74.75	43.25
-102.75	38.25
-58.25	-22.75
33.25	-23.25
-1.25	54.25
-11.25	26.25
152.25	-31.75
-63.25	-33.75
133.25	46.75
24.25	57.25
-9.25	22.25
120.75	-22.25
-108.25	56.75
13.75	11.75
13.25	-15.25
100.75	71.75
113.75	1.75
81.25	71.75
-5.75	22.25
-20.75	73.75
145.75	-38.25
-81.25	28.75
53.75	34.25
-134.75	60.25
112.25	28.75
123.75	55.25
96.25	22.75
20.25	69.75
0.75	46.25
-115.25	64.25
-107.25	67.25
5.75	12.75
94.75	54.75
19.25	-23.75
-118.75	36.75
-59.25	-31.25
6.75	58.75
140.25	52.25
102.25	66.75
34.25	47.75
-91.25	68.25
48.25	33.25
-2.75	19.25
-79.25	42.25
85.75	54.75
76.25	47.25
125.75	45.25
-69.25	-52.75
106.25	27.75
-114.25	46.25
45.25	19.75
-114.25	47.25
-77.75	52.75
-71.75	0.75
-112.75	52.25
108.75	22.25
-131.25	58.75
110.75	22.25
119.75	27.25
14.25	-9.25
143.25	68.75
105.25	20.25
87.75	31.75
-113.75	65.75
111.25	41.75
-103.75	20.25
18.25	43.25
125.75	47.25
-158.75	64.75
8.25	61.75
-109.25	41.25
140.75	68.75
122.25	-33.75
-95.25	64.75
130.25	70.75
134.25	-18.25
101.25	78.25
-117.75	52.75
18.25	5.25
-55.75	2.25
27.25	52.75
-111.75	41.25
-58.75	-29.75
-100.75	57.25
23.25	62.75
30.75	-17.75
-72.25	-50.25
-123.25	71.25
128.25	-24.75
-109.75	47.25
4.25	26.75
-70.25	-4.75
77.25	44.75
-73.75	5.75
128.75	69.75
170.25	61.25
70.25	41.25
137.75	-29.25
-127.25	69.25
28.75	45.25
56.75	60.75
63.75	63.25
-65.25	-20.75
79.75	24.25
86.25	26.75
56.75	38.75
128.25	-24.25
-97.75	37.75
131.75	44.25
31.25	20.25
26.25	49.75
51.25	60.25
27.25	7.75
7.75	51.25
25.75	57.25
20.25	-10.25
22.25	-31.25
13.25	-8.75
-97.25	55.25
65.25	53.25
102.75	62.25
-96.25	67.75
13.75	0.75
-66.25	52.75
-79.25	46.75
-70.75	-36.25
-89.25	44.75
89.25	70.25
43.25	1.25
-82.75	33.25
-71.25	-51.75
102.25	74.25
121.75	53.25
114.75	26.75
38.75	30.25
45.75	4.75
7.25	27.75
-57.25	-26.75
46.25	24.25
133.75	-12.75
-101.25	52.75
-84.25	70.75
-74.75	53.25
139.25	-34.25
-70.75	56.25
-120.25	39.25
103.75	30.75
-52.25	3.75
-158.25	57.25
144.25	-37.75
28.25	-4.25
-68.25	54.25
-86.25	55.25
-56.75	-28.25
-78.75	42.75
128.75	40.75
96.25	23.25
-140.75	61.25
12.25	49.75
105.25	74.75
-64.75	-13.25
92.75	33.75
-80.75	27.75
112.25	31.75
132.75	-25.25
-51.25	1.75
35.25	-16.25
35.75	54.75
-51.75	-0.75
51.75	15.75
-42.75	-15.25
20.25	22.25
117.25	42.25
-119.75	51.25
104.75	56.25
-83.25	67.25
145.25	-32.75
2.25	24.25
99.75	48.25
11.75	15.25
-48.75	-13.25
-53.25	-9.75
34.25	23.75
0.25	44.25
-1.75	5.25
-35.25	-8.25
122.75	48.75
-97.75	67.75
11.25	0.75
-86.75	76.75
98.75	9.75
-85.75	43.25
140.25	57.75
16.75	17.75
62.25	57.75
48.25	37.75
85.25	20.75
16.25	-21.75
129.25	71.25
-72.25	-44.25
49.75	53.25
26.25	0.25
-90.25	63.75
109.25	22.25
69.75	38.75
-112.25	36.25
33.75	65.75
73.75	40.25
145.25	-24.75
12.75	8.75
-73.25	50.75
-55.25	-11.25
-100.75	56.75
86.75	21.75
-68.75	-53.25
-68.25	69.25
121.25	61.75
54.25	52.25
-10.75	17.25
100.75	72.75
42.25	63.25
81.75	38.75
94.75	16.75
115.25	41.75
21.25	31.75
-68.75	-25.75
37.75	17.25
54.75	62.25
23.25	10.25
114.25	51.75
-66.75	77.75
30.75	56.25
98.25	70.25
36.75	29.25
39.25	24.75
81.25	18.25
119.25	71.25
51.75	22.75
109.75	75.25
7.75	59.75
88.25	55.75
169.75	-46.25
-90.25	40.75
104.75	68.75
91.75	60.75
11.75	13.25
-58.75	-26.75
-22.25	71.25
65.25	51.75
-74.75	-7.25
41.75	4.25
150.25	-32.75
-101.75	52.75
-120.75	60.25
-103.75	49.25
69.75	49.75
96.75	33.75
-12.25	20.25
109.75	34.25
103.75	44.75
20.75	-20.75
134.75	-6.25
41.25	43.75
16.75	62.25
-97.75	18.25
95.75	35.25
142.25	-8.75
94.75	25.25
130.75	62.75
8.25	21.25
101.75	0.25
-54.75	-18.75
3.75	23.75
141.75	68.75
-9.75	6.75
-62.25	51.25
157.75	70.75
-70.75	-39.75
17.25	53.25
-57.75	-5.75
-76.75	60.25
75.25	61.75
99.25	53.25
117.75	66.25
-87.75	73.25
-60.75	-34.75
32.75	-11.25
-93.25	31.75
81.25	56.75
-57.75	4.75
77.25	69.25
41.25	8.25
-3.25	38.25
-53.75	-16.75
8.75	63.75
24.25	10.25
53.25	52.25
91.75	52.25
-51.25	-6.75
96.25	42.75
21.25	69.25
124.25	60.75
16.25	-9.25
19.25	50.75
116.75	-24.75
-0.25	5.75
-119.25	49.25
46.75	15.25
38.25	-7.75
-65.75	-16.25
57.25	33.25
49.75	-15.75
-55.75	-25.75
136.25	66.25
157.75	66.75
-110.75	58.75
