Lon,Lat,GFED-region,Pan_2007,ISO3,UN
-69.75,-55.25,5,Americas,CHL,152
-69.25,-55.25,5,Americas,CHL,152
-71.25,-54.75,5,Americas,CHL,152
-70.75,-54.75,5,Americas,CHL,152
-70.25,-54.75,5,Americas,CHL,152
-69.75,-54.75,5,Americas,CHL,152
-69.25,-54.75,5,Americas,CHL,152
-68.75,-54.75,5,Americas,CHL,152
-68.25,-54.75,5,Americas,ARG,32
-67.75,-54.75,5,Americas,ARG,32
-67.25,-54.75,5,Americas,ARG,32
-66.75,-54.75,5,Americas,ARG,32
-66.25,-54.75,5,Americas,ARG,32
-65.75,-54.75,5,Americas,ARG,32
-72.25,-54.25,5,Americas,CHL,152
-71.75,-54.25,5,Americas,CHL,152
-71.25,-54.25,5,Americas,CHL,152
-70.75,-54.25,5,Americas,CHL,152
-70.25,-54.25,5,Americas,CHL,152
-69.75,-54.25,5,Americas,CHL,152
-69.25,-54.25,5,Americas,CHL,152
-68.75,-54.25,5,Americas,CHL,152
-68.25,-54.25,5,Americas,ARG,32
-67.75,-54.25,5,Americas,ARG,32
-67.25,-54.25,5,Americas,ARG,32
-66.75,-54.25,5,Americas,ARG,32
-73.25,-53.75,5,Americas,CHL,152
-72.75,-53.75,5,Americas,CHL,152
-72.25,-53.75,5,Americas,CHL,152
-71.75,-53.75,5,Americas,CHL,152
-71.25,-53.75,5,Americas,CHL,152
-70.75,-53.75,5,Americas,CHL,152
-69.75,-53.75,5,Americas,CHL,152
-69.25,-53.75,5,Americas,CHL,152
-68.75,-53.75,5,Americas,CHL,152
-68.25,-53.75,5,Americas,ARG,32
-67.75,-53.75,5,Americas,ARG,32
-73.25,-53.25,5,Americas,CHL,152
-72.75,-53.25,5,Americas,CHL,152
-72.25,-53.25,5,Americas,CHL,152
-71.75,-53.25,5,Americas,CHL,152
-71.25,-53.25,5,Americas,CHL,152
-70.25,-53.25,5,Americas,CHL,152
-69.75,-53.25,5,Americas,CHL,152
-69.25,-53.25,5,Americas,CHL,152
-68.75,-53.25,5,Americas,CHL,152
-68.25,-53.25,5,Americas,ARG,32
-73.75,-52.75,5,Americas,CHL,152
-73.25,-52.75,5,Americas,CHL,152
-72.75,-52.75,5,Americas,CHL,152
-72.25,-52.75,5,Americas,CHL,152
-71.75,-52.75,5,Americas,CHL,152
-71.25,-52.75,5,Americas,CHL,152
-70.75,-52.75,5,Americas,CHL,152
-70.25,-52.75,5,Americas,CHL,152
-69.75,-52.75,5,Americas,CHL,152
-69.25,-52.75,5,Americas,CHL,152
-68.75,-52.75,5,Americas,CHL,152
-74.75,-52.25,5,Americas,CHL,152
-74.25,-52.25,5,Americas,CHL,152
-73.75,-52.25,5,Americas,CHL,152
-73.25,-52.25,5,Americas,CHL,152
-72.75,-52.25,5,Americas,CHL,152
-72.25,-52.25,5,Americas,CHL,152
-71.75,-52.25,5,Americas,CHL,152
-71.25,-52.25,5,Americas,CHL,152
-70.75,-52.25,5,Americas,CHL,152
-70.25,-52.25,5,Americas,CHL,152
-69.75,-52.25,5,Americas,CHL,152
-69.25,-52.25,5,Americas,CHL,152
-68.75,-52.25,5,Americas,ARG,32
-73.75,-51.75,5,Americas,CHL,152
-73.25,-51.75,5,Americas,CHL,152
-72.75,-51.75,5,Americas,CHL,152
-72.25,-51.75,5,Americas,CHL,152
-71.75,-51.75,5,Americas,ARG,32
-71.25,-51.75,5,Americas,ARG,32
-70.75,-51.75,5,Americas,ARG,32
-70.25,-51.75,5,Americas,ARG,32
-69.75,-51.75,5,Americas,ARG,32
-69.25,-51.75,5,Americas,ARG,32
-74.75,-51.25,5,Americas,CHL,152
-74.25,-51.25,5,Americas,CHL,152
-73.75,-51.25,5,Americas,CHL,152
-73.25,-51.25,5,Americas,CHL,152
-72.75,-51.25,5,Americas,CHL,152
