Country,Forest_area_1000ha,HarvVol_2015_1000m3,HarvVol_2015_m3perhaFAWS,HarvVol_2015_m3perha,NAI_m3_yr,NAI_m3_ha_yr,Harv_percent_NAI
Albania,785,1180,2.1,1.5031847133757963,1074102,1.37,1.0985921262598897
Andorra,16,NA,NA,NA,10708,0.67,NA
Austria,3881,17288,5.2,4.454522030404535,27898420,7.19,0.6196766698615908
Belarus,8634,20283,3.1,2.3492008339124393,NA,NA,NA
Belgium,689,4151,6.2,6.0246734397677795,5510430,7.99,0.75329874438111
Bosnia and Herzegovina,2161,4270,NA,1.975937066173068,7918138,3.66,0.5392681966391594
Bulgaria,3833,6071,2.4,1.583876858857292,13974000,3.65,0.43444969228567337
Croatia,1922,5445,3.1,2.8329864724245577,8918000,4.64,0.6105629064812739
Cyprus,173,11,0.3,0.06358381502890173,195518,1.13,0.056260804631798604
Czechia,2668,16795,7.3,6.294977511244378,21110431,7.91,0.7955782617607381
Denmark,625,3753,6.1,6.0048,6670420,10.68,0.5626332374872947
Estonia,2421,9508,4.5,3.9273027674514664,13617730,5.62,0.6982074104861824
Finland,22409,59630,3,2.660984425900308,91638622,4.09,0.6507081697496498
France,16836,51260,3.2,3.0446661914944166,89442452,5.31,0.573105934081503
Georgia,2822,603,1,0.21367824238128988,NA,NA,NA
Germany,11419,53772,5.3,4.70899378229267,119474784,10.46,0.4500698657885835
Greece,3903,1471,0.4,0.3768895721240072,11478980,2.94,0.12814727440939874
Holy See,0,NA,NA,NA,NA,NA,NA
Hungary,2061,5778,3,2.8034934497816595,11478260,5.57,0.5033864017716971
Iceland,48,4,0.2,0.08333333333333333,49200,1.02,0.08130081300813008
Ireland,755,3018,5.1,3.9973509933774833,7694150,10.2,0.3922460570693319
Italy,9297,6234,0.8,0.6705388835108099,29900315,3.22,0.20849278678167774
Latvia,3391,12622,4,3.72220583898555,19680000,5.8,0.6413617886178862
Liechtenstein,7,14,3.5,2,41875,6.25,0.33432835820895523
Lithuania,2187,6872,3.6,3.142203932327389,15590000,7.13,0.440795381654907
Luxembourg,89,356,4.1,4,782950,8.83,0.45469059326904654
Malta,0,NA,NA,NA,396,1.13,NA
Monaco,0,NA,NA,NA,NA,NA,NA
Montenegro,827,1058,1.5,1.279322853688029,2224000,2.69,0.47571942446043164
Netherlands,365,2194,7.4,6.010958904109589,2663260,7.3,0.8238024075756779
North Macedonia,994,772,1,0.7766599597585513,1557903,1.57,0.4955379121806685
Norway,12141,11853,1.4,0.9762787249814677,27377000,2.25,0.43295466997844906
Poland,9420,41875,5.1,4.445329087048832,77808458,8.26,0.5381805664366206
Portugal,3312,12024,5.5,3.630434782608696,16718511,5.05,0.7192028046038311
Republic of Moldova,386,1352,4.3,3.5025906735751295,NA,NA,NA
Romania,6901,15131,3.3,2.1925807853934214,28708815,4.16,0.5270506637072969
Russian Federation,809090,204192,0.3,0.25237241839597574,NA,NA,NA
Serbia,2720,7708,NA,2.833823529411765,10961600,4.03,0.703182017223763
Slovakia,1922,8971,5,4.6675338189386055,13362330,6.95,0.6713649490769948
Slovenia,1248,4692,4.1,3.7596153846153846,9384960,7.52,0.49994885433715225
Spain,18551,16639,1,0.8969327799040483,44895341,2.42,0.3706175213147395
Sweden,27980,72840,3.7,2.603288062902073,94541926,3.38,0.7704518310743954
Switzerland,1252,4669,3.9,3.7292332268370605,10639700,8.5,0.4388281624481893
Turkey,21630,20652,2.5,0.9547850208044383,NA,NA,NA
Ukraine,9657,18829,3.6,1.949777363570467,NA,NA,NA
United Kingdom,3155,10853,3.4,3.439936608557845,24578752,7.79,0.4415602549714485
