Lon	Lat	year	NATURAL	FOREST	BARREN
-10.25	51.75	2010	0.0000000	0.0173922	0.9826078
-10.25	52.25	2010	0.0000000	0.0150454	0.9849546
-10.25	54.25	2010	0.0000000	0.0005184	0.9994816
 -9.75	51.25	2010	0.0000000	0.0008505	0.9991495
 -9.75	51.75	2010	0.0000000	0.0615492	0.9384508
 -9.75	52.25	2010	0.0000000	0.0346150	0.9653850
 -9.75	52.75	2010	0.0000000	0.0024382	0.9975618
 -9.75	53.25	2010	0.0000000	0.0300716	0.9699284
 -9.75	53.75	2010	0.0000000	0.0619169	0.9380831
 -9.75	54.25	2010	0.0000000	0.1429326	0.8570674
 -9.25	38.75	2010	0.0000000	0.1292782	0.8707218
 -9.25	39.25	2010	0.0000000	0.1625497	0.8374503
 -9.25	39.75	2010	0.0000000	0.0327190	0.9672810
 -9.25	42.75	2010	0.0000000	0.0718631	0.9281369
 -9.25	43.25	2010	0.0000000	0.1625528	0.8374472
 -9.25	51.25	2010	0.0000000	0.0016652	0.9983348
 -9.25	51.75	2010	0.0000000	0.1666914	0.8333086
 -9.25	52.25	2010	0.0000000	0.2158194	0.7841806
 -9.25	52.75	2010	0.0000000	0.1649160	0.8350840
 -9.25	53.25	2010	0.0000000	0.1524749	0.8475251
 -9.25	53.75	2010	0.0000000	0.0973322	0.9026678
 -9.25	54.25	2010	0.0000000	0.0192627	0.9807373
 -8.75	36.75	2010	0.0000000	0.0000000	1.0000000
 -8.75	37.25	2010	0.0000000	0.2547139	0.7452861
 -8.75	37.75	2010	0.0000000	0.2392716	0.7607284
 -8.75	38.25	2010	0.0000000	0.4139926	0.5860074
 -8.75	38.75	2010	0.0000000	0.3764991	0.6235009
 -8.75	39.25	2010	0.0000000	0.2215395	0.7784605
 -8.75	39.75	2010	0.0000000	0.4588522	0.5411478
 -8.75	40.25	2010	0.0000000	0.3859386	0.6140614
 -8.75	40.75	2010	0.0000000	0.1095202	0.8904798
 -8.75	41.25	2010	0.0000000	0.1113341	0.8886659
 -8.75	41.75	2010	0.0000000	0.3582894	0.6417106
 -8.75	42.25	2010	0.0000000	0.3859245	0.6140755
 -8.75	42.75	2010	0.0000000	0.5382524	0.4617476
 -8.75	43.25	2010	0.0000000	0.2707296	0.7292704
 -8.75	51.75	2010	0.0000000	0.0509015	0.9490985
 -8.75	52.25	2010	0.0000000	0.0599643	0.9400357
 -8.75	52.75	2010	0.0000000	0.1099474	0.8900526
 -8.75	53.25	2010	0.0000000	0.2086206	0.7913794
 -8.75	53.75	2010	0.0000000	0.0949756	0.9050244
 -8.75	54.25	2010	0.0000000	0.0650243	0.9349757
 -8.25	37.25	2010	0.0000000	0.2747692	0.7252308
 -8.25	37.75	2010	0.0000000	0.1034325	0.8965675
 -8.25	38.25	2010	0.0000000	0.2726456	0.7273544
 -8.25	38.75	2010	0.0000000	0.5240289	0.4759711
 -8.25	39.25	2010	0.0000000	0.6556816	0.3443184
 -8.25	39.75	2010	0.0000000	0.6770787	0.3229213
 -8.25	40.25	2010	0.0000000	0.8184391	0.1815609
 -8.25	40.75	2010	0.0000000	0.7661166	0.2338834
 -8.25	41.25	2010	0.0000000	0.4488377	0.5511623
 -8.25	41.75	2010	0.0000000	0.4562331	0.5437669
 -8.25	42.25	2010	0.0000000	0.4688199	0.5311801
 -8.25	42.75	2010	0.0000000	0.4992116	0.5007884
 -8.25	43.25	2010	0.0000000	0.3762012	0.6237988
 -8.25	43.75	2010	0.0000000	0.1168266	0.8831734
 -8.25	51.75	2010	0.0000000	0.0199714	0.9800286
 -8.25	52.25	2010	0.0000000	0.1078099	0.8921901
 -8.25	52.75	2010	0.0000000	0.1739339	0.8260661
 -8.25	53.25	2010	0.0000000	0.0616244	0.9383756
 -8.25	53.75	2010	0.0000000	0.0638251	0.9361749
 -8.25	54.25	2010	0.0000000	0.1652615	0.8347385
 -8.25	54.75	2010	0.0000000	0.0868902	0.9131098
 -8.25	55.25	2010	0.0000000	0.0133346	0.9866654
 -7.75	36.75	2010	0.0000000	0.0000000	1.0000000
 -7.75	37.25	2010	0.0000000	0.1343238	0.8656762
 -7.75	37.75	2010	0.0000000	0.0667093	0.9332907
 -7.75	38.25	2010	0.0000000	0.1654753	0.8345247
 -7.75	38.75	2010	0.0000000	0.2353005	0.7646995
 -7.75	39.25	2010	0.0000000	0.3555053	0.6444947
 -7.75	39.75	2010	0.0000000	0.6779771	0.3220229
 -7.75	40.25	2010	0.0000000	0.7115949	0.2884051
 -7.75	40.75	2010	0.0000000	0.5127697	0.4872303
 -7.75	41.25	2010	0.0000000	0.4499116	0.5500884
 -7.75	41.75	2010	0.0000000	0.4332755	0.5667245
 -7.75	42.25	2010	0.0000000	0.4552569	0.5447431
 -7.75	42.75	2010	0.0000000	0.3364228	0.6635772
 -7.75	43.25	2010	0.0000000	0.3348071	0.6651929
 -7.75	43.75	2010	0.0000000	0.2833796	0.7166204
 -7.75	51.75	2010	0.0000000	0.0138869	0.9861131
 -7.75	52.25	2010	0.0000000	0.1515421	0.8484579
 -7.75	52.75	2010	0.0000000	0.0880422	0.9119578
 -7.75	53.25	2010	0.0000000	0.1635818	0.8364182
 -7.75	53.75	2010	0.0000000	0.0529737	0.9470263
 -7.75	54.25	2010	0.0000000	0.1332831	0.8667169
 -7.75	54.75	2010	0.0000000	0.1949528	0.8050472
 -7.75	55.25	2010	0.0000000	0.0482210	0.9517790
 -7.25	37.25	2010	0.0000000	0.1610263	0.8389737
 -7.25	37.75	2010	0.0000000	0.3258950	0.6741050
 -7.25	38.25	2010	0.0000000	0.1753489	0.8246511
 -7.25	38.75	2010	0.0000000	0.0855976	0.9144024
 -7.25	39.25	2010	0.0000000	0.1957915	0.8042085
 -7.25	39.75	2010	0.0000000	0.2968593	0.7031407
 -7.25	40.25	2010	0.0000000	0.4656428	0.5343572
 -7.25	40.75	2010	0.0000000	0.3309177	0.6690823
 -7.25	41.25	2010	0.0000000	0.3069007	0.6930993
 -7.25	41.75	2010	0.0000000	0.3286864	0.6713136
 -7.25	42.25	2010	0.0000000	0.3950068	0.6049932
 -7.25	42.75	2010	0.0000000	0.4455466	0.5544534
 -7.25	43.25	2010	0.0000000	0.6371053	0.3628947
 -7.25	43.75	2010	0.0000000	0.1308827	0.8691173
 -7.25	52.25	2010	0.0000000	0.0616876	0.9383124
 -7.25	52.75	2010	0.0000000	0.0742297	0.9257703
 -7.25	53.25	2010	0.0000000	0.0669918	0.9330082
 -7.25	53.75	2010	0.0000000	0.0529645	0.9470355
 -7.25	54.25	2010	0.0000000	0.1054451	0.8945549
 -7.25	54.75	2010	0.0000000	0.0343739	0.9656261
 -7.25	55.25	2010	0.0000000	0.0433217	0.9566783
 -7.25	57.25	2010	0.0000000	0.0021157	0.9978843
 -7.25	57.75	2010	0.0000000	0.0000000	1.0000000
 -7.25	58.25	2010	0.0000000	0.0104280	0.9895720
 -6.75	37.25	2010	0.0000000	0.1719674	0.8280326
 -6.75	37.75	2010	0.0000000	0.6323463	0.3676537
 -6.75	38.25	2010	0.0000000	0.2840879	0.7159121
 -6.75	38.75	2010	0.0000000	0.0413623	0.9586377
 -6.75	39.25	2010	0.0000000	0.1857836	0.8142164
 -6.75	39.75	2010	0.0000000	0.1402653	0.8597347
 -6.75	40.25	2010	0.0000000	0.3391554	0.6608446
 -6.75	40.75	2010	0.0000000	0.1984614	0.8015386
 -6.75	41.25	2010	0.0000000	0.2623527	0.7376473
 -6.75	41.75	2010	0.0000000	0.2914393	0.7085607
 -6.75	42.25	2010	0.0000000	0.4024735	0.5975265
 -6.75	42.75	2010	0.0000000	0.5164325	0.4835675
 -6.75	43.25	2010	0.0000000	0.4841516	0.5158484
 -6.75	43.75	2010	0.0000000	0.0831165	0.9168835
 -6.75	52.25	2010	0.0000000	0.0288447	0.9711553
 -6.75	52.75	2010	0.0000000	0.0513842	0.9486158
 -6.75	53.25	2010	0.0000000	0.0519550	0.9480450
 -6.75	53.75	2010	0.0000000	0.0087550	0.9912450
 -6.75	54.25	2010	0.0000000	0.0239334	0.9760666
 -6.75	54.75	2010	0.0000000	0.0482254	0.9517746
 -6.75	55.25	2010	0.0000000	0.0220834	0.9779166
