"","lon05","lat05","country","cluster_kmeans"
"1",-6.25,36.25,"Spain",3
"2",-5.75,36.25,"Spain",3
"3",-5.25,36.25,"Spain",3
"4",-4.75,36.25,"Spain",3
"5",-6.25,36.75,"Spain",3
"6",-5.75,36.75,"Spain",3
"7",-5.25,36.75,"Spain",3
"8",-4.75,36.75,"Spain",3
"9",-4.25,36.75,"Spain",3
"10",-3.75,36.75,"Spain",3
"11",-3.25,36.75,"Spain",3
"12",-2.75,36.75,"Spain",3
"13",-2.25,36.75,"Spain",3
"14",-7.25,37.25,"Spain",3
"15",-6.75,37.25,"Spain",3
"16",-6.25,37.25,"Spain",3
"17",-5.25,37.25,"Spain",3
"18",-4.75,37.25,"Spain",3
"19",-4.25,37.25,"Spain",3
"20",-3.75,37.25,"Spain",3
"21",-3.25,37.25,"Spain",3
"22",-2.75,37.25,"Spain",3
"23",-2.25,37.25,"Spain",3
"24",-1.75,37.25,"Spain",3
"25",-7.25,37.75,"Spain",1
"26",-6.75,37.75,"Spain",1
"27",-6.25,37.75,"Spain",3
"28",-5.75,37.75,"Spain",3
"29",-5.25,37.75,"Spain",3
"30",-4.75,37.75,"Spain",3
"31",-4.25,37.75,"Spain",3
"32",-3.75,37.75,"Spain",3
"33",-3.25,37.75,"Spain",1
"34",-2.75,37.75,"Spain",1
"35",-2.25,37.75,"Spain",1
"36",-1.75,37.75,"Spain",1
"37",-1.25,37.75,"Spain",3
"38",-0.75,37.75,"Spain",3
"39",-7.25,38.25,"Spain",1
"40",-6.75,38.25,"Spain",1
"41",-6.25,38.25,"Spain",3
"42",-5.75,38.25,"Spain",3
"43",-5.25,38.25,"Spain",3
"44",-4.75,38.25,"Spain",3
"45",-4.25,38.25,"Spain",3
"46",-3.75,38.25,"Spain",3
"47",-3.25,38.25,"Spain",1
"48",-2.75,38.25,"Spain",1
"49",-2.25,38.25,"Spain",1
"50",-1.75,38.25,"Spain",1
"51",-1.25,38.25,"Spain",3
"52",-0.75,38.25,"Spain",3
"53",-7.25,38.75,"Spain",1
"54",-6.75,38.75,"Spain",1
"55",-6.25,38.75,"Spain",3
"56",-5.75,38.75,"Spain",3
"57",-5.25,38.75,"Spain",3
"58",-4.75,38.75,"Spain",3
"59",-4.25,38.75,"Spain",3
"60",-3.75,38.75,"Spain",3
"61",-3.25,38.75,"Spain",3
"62",-2.75,38.75,"Spain",3
"63",-2.25,38.75,"Spain",1
"64",-1.75,38.75,"Spain",1
"65",-1.25,38.75,"Spain",1
"66",-0.75,38.75,"Spain",1
"67",-0.25,38.75,"Spain",3
"68",0.25,38.75,"Spain",3
"69",-7.25,39.25,"Spain",1
"70",-6.75,39.25,"Spain",1
"71",-6.25,39.25,"Spain",3
"72",-5.75,39.25,"Spain",3
"73",-5.25,39.25,"Spain",3
"74",-4.75,39.25,"Spain",3
"75",-4.25,39.25,"Spain",3
"76",-3.75,39.25,"Spain",3
"77",-3.25,39.25,"Spain",3
"78",-2.75,39.25,"Spain",3
"79",-2.25,39.25,"Spain",1
"80",-1.75,39.25,"Spain",1
"81",-1.25,39.25,"Spain",1
"82",-0.75,39.25,"Spain",1
"83",-0.25,39.25,"Spain",3
"84",-7.25,39.75,"Spain",4
"85",-6.75,39.75,"Spain",4
"86",-6.25,39.75,"Spain",3
"87",-5.75,39.75,"Spain",3
"88",-5.25,39.75,"Spain",3
"89",-4.75,39.75,"Spain",3
"90",-4.25,39.75,"Spain",3
"91",-3.75,39.75,"Spain",3
"92",-3.25,39.75,"Spain",3
"93",-2.75,39.75,"Spain",3
"94",-2.25,39.75,"Spain",1
"95",-1.75,39.75,"Spain",1
"96",-1.25,39.75,"Spain",1
"97",-0.75,39.75,"Spain",1
"98",-0.25,39.75,"Spain",1
"99",-6.75,40.25,"Spain",4
"100",-6.25,40.25,"Spain",3
"101",-5.75,40.25,"Spain",3
"102",-5.25,40.25,"Spain",3
"103",-4.75,40.25,"Spain",3
"104",-4.25,40.25,"Spain",3
"105",-3.75,40.25,"Spain",3
"106",-3.25,40.25,"Spain",3
