ISO2;country_name;longitude;latitude;fraction
CH;Switzerland;5.95;46.15;0.15
CH;Switzerland;5.95;46.25;0.05
CH;Switzerland;6.05;46.15;0.55
CH;Switzerland;6.05;46.25;0.37
CH;Switzerland;6.05;46.45;0.16
CH;Switzerland;6.15;46.15;0.47
CH;Switzerland;6.15;46.25;0.91
CH;Switzerland;6.15;46.35;0.59
CH;Switzerland;6.15;46.45;0.99
CH;Switzerland;6.15;46.55;0.69
CH;Switzerland;6.15;46.65;0.08
CH;Switzerland;6.25;46.15;0.02
CH;Switzerland;6.25;46.25;0.67
CH;Switzerland;6.25;46.35;0.56
CH;Switzerland;6.25;46.45;1.00
CH;Switzerland;6.25;46.55;1.00
CH;Switzerland;6.25;46.65;0.65
CH;Switzerland;6.35;46.25;0.02
CH;Switzerland;6.35;46.35;0.02
CH;Switzerland;6.35;46.45;0.93
CH;Switzerland;6.35;46.55;1.00
CH;Switzerland;6.35;46.65;1.00
CH;Switzerland;6.35;46.75;0.18
CH;Switzerland;6.45;46.45;0.72
CH;Switzerland;6.45;46.55;1.00
CH;Switzerland;6.45;46.65;1.00
CH;Switzerland;6.45;46.75;0.79
CH;Switzerland;6.45;46.85;0.48
CH;Switzerland;6.45;46.95;0.31
CH;Switzerland;6.55;46.45;0.44
CH;Switzerland;6.55;46.55;1.00
CH;Switzerland;6.55;46.65;1.00
CH;Switzerland;6.55;46.75;1.00
CH;Switzerland;6.55;46.85;1.00
CH;Switzerland;6.55;46.95;0.78
CH;Switzerland;6.65;46.45;0.43
CH;Switzerland;6.65;46.55;1.00
CH;Switzerland;6.65;46.65;1.00
CH;Switzerland;6.65;46.75;1.00
CH;Switzerland;6.65;46.85;1.00
CH;Switzerland;6.65;46.95;0.98
CH;Switzerland;6.65;47.05;0.17
CH;Switzerland;6.75;46.15;0.00
CH;Switzerland;6.75;46.35;0.08
CH;Switzerland;6.75;46.45;0.56
CH;Switzerland;6.75;46.55;1.00
CH;Switzerland;6.75;46.65;1.00
CH;Switzerland;6.75;46.75;1.00
CH;Switzerland;6.75;46.85;1.00
CH;Switzerland;6.75;46.95;1.00
CH;Switzerland;6.75;47.05;0.92
CH;Switzerland;6.75;47.15;0.12
CH;Switzerland;6.85;46.05;0.06
CH;Switzerland;6.85;46.15;0.64
CH;Switzerland;6.85;46.25;0.57
CH;Switzerland;6.85;46.35;0.94
CH;Switzerland;6.85;46.45;0.94
CH;Switzerland;6.85;46.55;1.00
CH;Switzerland;6.85;46.65;1.00
CH;Switzerland;6.85;46.75;1.00
CH;Switzerland;6.85;46.85;1.00
CH;Switzerland;6.85;46.95;1.00
CH;Switzerland;6.85;47.05;1.00
CH;Switzerland;6.85;47.15;0.66
CH;Switzerland;6.85;47.25;0.01
CH;Switzerland;6.85;47.35;0.04
CH;Switzerland;6.95;46.05;0.58
CH;Switzerland;6.95;46.15;1.00
CH;Switzerland;6.95;46.25;1.00
CH;Switzerland;6.95;46.35;1.00
CH;Switzerland;6.95;46.45;1.00
CH;Switzerland;6.95;46.55;1.00
CH;Switzerland;6.95;46.65;1.00
CH;Switzerland;6.95;46.75;1.00
CH;Switzerland;6.95;46.85;1.00
CH;Switzerland;6.95;46.95;1.00
CH;Switzerland;6.95;47.05;1.00
CH;Switzerland;6.95;47.15;1.00
CH;Switzerland;6.95;47.25;0.60
