ISO2;country_name;longitude;latitude;fraction
CZ;Czech Republic;12.05;50.25;0.01
CZ;Czech Republic;12.15;50.15;0.02
CZ;Czech Republic;12.15;50.25;0.65
CZ;Czech Republic;12.15;50.35;0.14
CZ;Czech Republic;12.25;50.05;0.16
CZ;Czech Republic;12.25;50.15;0.93
CZ;Czech Republic;12.25;50.25;0.48
CZ;Czech Republic;12.35;50.05;0.65
CZ;Czech Republic;12.35;50.15;0.95
CZ;Czech Republic;12.35;50.25;0.42
CZ;Czech Republic;12.45;49.65;0.01
CZ;Czech Republic;12.45;49.75;0.66
CZ;Czech Republic;12.45;49.85;0.10
CZ;Czech Republic;12.45;49.95;0.13
CZ;Czech Republic;12.45;50.05;0.97
CZ;Czech Republic;12.45;50.15;1.00
CZ;Czech Republic;12.45;50.25;1.00
CZ;Czech Republic;12.45;50.35;0.38
CZ;Czech Republic;12.55;49.55;0.12
CZ;Czech Republic;12.55;49.65;0.65
CZ;Czech Republic;12.55;49.75;1.00
CZ;Czech Republic;12.55;49.85;0.90
CZ;Czech Republic;12.55;49.95;0.86
CZ;Czech Republic;12.55;50.05;1.00
CZ;Czech Republic;12.55;50.15;1.00
CZ;Czech Republic;12.55;50.25;1.00
CZ;Czech Republic;12.55;50.35;0.99
CZ;Czech Republic;12.55;50.45;0.04
CZ;Czech Republic;12.65;49.45;0.35
CZ;Czech Republic;12.65;49.55;0.85
CZ;Czech Republic;12.65;49.65;1.00
CZ;Czech Republic;12.65;49.75;1.00
CZ;Czech Republic;12.65;49.85;1.00
CZ;Czech Republic;12.65;49.95;1.00
CZ;Czech Republic;12.65;50.05;1.00
CZ;Czech Republic;12.65;50.15;1.00
CZ;Czech Republic;12.65;50.25;1.00
CZ;Czech Republic;12.65;50.35;1.00
CZ;Czech Republic;12.65;50.45;0.13
CZ;Czech Republic;12.75;49.35;0.15
CZ;Czech Republic;12.75;49.45;0.92
CZ;Czech Republic;12.75;49.55;1.00
CZ;Czech Republic;12.75;49.65;1.00
CZ;Czech Republic;12.75;49.75;1.00
CZ;Czech Republic;12.75;49.85;1.00
CZ;Czech Republic;12.75;49.95;1.00
CZ;Czech Republic;12.75;50.05;1.00
CZ;Czech Republic;12.75;50.15;1.00
CZ;Czech Republic;12.75;50.25;1.00
CZ;Czech Republic;12.75;50.35;1.00
CZ;Czech Republic;12.75;50.45;0.31
CZ;Czech Republic;12.85;49.35;0.53
CZ;Czech Republic;12.85;49.45;1.00
CZ;Czech Republic;12.85;49.55;1.00
CZ;Czech Republic;12.85;49.65;1.00
CZ;Czech Republic;12.85;49.75;1.00
CZ;Czech Republic;12.85;49.85;1.00
CZ;Czech Republic;12.85;49.95;1.00
CZ;Czech Republic;12.85;50.05;1.00
CZ;Czech Republic;12.85;50.15;1.00
CZ;Czech Republic;12.85;50.25;1.00
CZ;Czech Republic;12.85;50.35;1.00
CZ;Czech Republic;12.85;50.45;0.43
CZ;Czech Republic;12.95;49.35;0.58
CZ;Czech Republic;12.95;49.45;1.00
CZ;Czech Republic;12.95;49.55;1.00
CZ;Czech Republic;12.95;49.65;1.00
CZ;Czech Republic;12.95;49.75;1.00
CZ;Czech Republic;12.95;49.85;1.00
CZ;Czech Republic;12.95;49.95;1.00
CZ;Czech Republic;12.95;50.05;1.00
CZ;Czech Republic;12.95;50.15;1.00
CZ;Czech Republic;12.95;50.25;1.00
CZ;Czech Republic;12.95;50.35;1.00
CZ;Czech Republic;12.95;50.45;0.16
CZ;Czech Republic;13.05;49.25;0.30
CZ;Czech Republic;13.05;49.35;0.96
CZ;Czech Republic;13.05;49.45;1.00
CZ;Czech Republic;13.05;49.55;1.00
CZ;Czech Republic;13.05;49.65;1.00
CZ;Czech Republic;13.05;49.75;1.00
CZ;Czech Republic;13.05;49.85;1.00
CZ;Czech Republic;13.05;49.95;1.00
CZ;Czech Republic;13.05;50.05;1.00
CZ;Czech Republic;13.05;50.15;1.00
CZ;Czech Republic;13.05;50.25;1.00
CZ;Czech Republic;13.05;50.35;1.00
CZ;Czech Republic;13.05;50.45;0.83
CZ;Czech Republic;13.05;50.55;0.02
CZ;Czech Republic;13.15;49.15;0.22
CZ;Czech Republic;13.15;49.25;0.97
CZ;Czech Republic;13.15;49.35;1.00
CZ;Czech Republic;13.15;49.45;1.00
CZ;Czech Republic;13.15;49.55;1.00
CZ;Czech Republic;13.15;49.65;1.00
CZ;Czech Republic;13.15;49.75;1.00
CZ;Czech Republic;13.15;49.85;1.00
CZ;Czech Republic;13.15;49.95;1.00
CZ;Czech Republic;13.15;50.05;1.00
CZ;Czech Republic;13.15;50.15;1.00
CZ;Czech Republic;13.15;50.25;1.00
CZ;Czech Republic;13.15;50.35;1.00
CZ;Czech Republic;13.15;50.45;1.00
CZ;Czech Republic;13.15;50.55;0.06
CZ;Czech Republic;13.25;49.15;0.80
CZ;Czech Republic;13.25;49.25;1.00
CZ;Czech Republic;13.25;49.35;1.00
CZ;Czech Republic;13.25;49.45;1.00
CZ;Czech Republic;13.25;49.55;1.00
CZ;Czech Republic;13.25;49.65;1.00
CZ;Czech Republic;13.25;49.75;1.00
CZ;Czech Republic;13.25;49.85;1.00
CZ;Czech Republic;13.25;49.95;1.00
CZ;Czech Republic;13.25;50.05;1.00
CZ;Czech Republic;13.25;50.15;1.00
CZ;Czech Republic;13.25;50.25;1.00
