ISO2;country_name;longitude;latitude;fraction
DE;Germany;5.85;50.95;0.00
DE;Germany;5.85;51.05;0.07
DE;Germany;5.95;50.75;0.05
DE;Germany;5.95;50.85;0.03
DE;Germany;5.95;50.95;0.12
DE;Germany;5.95;51.05;0.50
DE;Germany;5.95;51.75;0.08
DE;Germany;5.95;51.85;0.08
DE;Germany;6.05;50.05;0.00
DE;Germany;6.05;50.75;0.71
DE;Germany;6.05;50.85;0.49
DE;Germany;6.05;50.95;0.70
DE;Germany;6.05;51.05;0.97
DE;Germany;6.05;51.15;0.14
DE;Germany;6.05;51.25;0.10
DE;Germany;6.05;51.65;0.21
DE;Germany;6.05;51.75;0.87
DE;Germany;6.05;51.85;0.47
DE;Germany;6.15;49.95;0.19
DE;Germany;6.15;50.05;0.82
DE;Germany;6.15;50.15;0.53
DE;Germany;6.15;50.25;0.10
DE;Germany;6.15;50.55;0.09
DE;Germany;6.15;50.65;0.31
DE;Germany;6.15;50.75;0.97
DE;Germany;6.15;50.85;1.00
DE;Germany;6.15;50.95;1.00
DE;Germany;6.15;51.05;1.00
DE;Germany;6.15;51.15;0.74
DE;Germany;6.15;51.25;0.90
DE;Germany;6.15;51.35;0.14
DE;Germany;6.15;51.55;0.32
DE;Germany;6.15;51.65;0.95
DE;Germany;6.15;51.75;1.00
DE;Germany;6.15;51.85;0.75
DE;Germany;6.15;51.95;0.01
DE;Germany;6.25;49.85;0.15
DE;Germany;6.25;49.95;0.85
DE;Germany;6.25;50.05;1.00
DE;Germany;6.25;50.15;1.00
DE;Germany;6.25;50.25;0.69
DE;Germany;6.25;50.35;0.01
DE;Germany;6.25;50.45;0.01
DE;Germany;6.25;50.55;0.88
DE;Germany;6.25;50.65;0.82
DE;Germany;6.25;50.75;1.00
DE;Germany;6.25;50.85;1.00
DE;Germany;6.25;50.95;1.00
DE;Germany;6.25;51.05;1.00
DE;Germany;6.25;51.15;1.00
DE;Germany;6.25;51.25;1.00
DE;Germany;6.25;51.35;0.87
DE;Germany;6.25;51.45;0.77
DE;Germany;6.25;51.55;0.96
DE;Germany;6.25;51.65;1.00
DE;Germany;6.25;51.75;1.00
DE;Germany;6.25;51.85;0.72
DE;Germany;6.35;49.45;0.12
DE;Germany;6.35;49.55;0.28
DE;Germany;6.35;49.65;0.00
DE;Germany;6.35;49.85;0.54
DE;Germany;6.35;49.95;1.00
DE;Germany;6.35;50.05;1.00
DE;Germany;6.35;50.15;1.00
DE;Germany;6.35;50.25;1.00
DE;Germany;6.35;50.35;0.43
DE;Germany;6.35;50.45;0.47
DE;Germany;6.35;50.55;1.00
DE;Germany;6.35;50.65;1.00
DE;Germany;6.35;50.75;1.00
DE;Germany;6.35;50.85;1.00
DE;Germany;6.35;50.95;1.00
DE;Germany;6.35;51.05;1.00
DE;Germany;6.35;51.15;1.00
DE;Germany;6.35;51.25;1.00
DE;Germany;6.35;51.35;1.00
DE;Germany;6.35;51.45;1.00
DE;Germany;6.35;51.55;1.00
DE;Germany;6.35;51.65;1.00
DE;Germany;6.35;51.75;1.00
DE;Germany;6.35;51.85;0.49
DE;Germany;6.45;49.45;0.36
DE;Germany;6.45;49.55;1.00
DE;Germany;6.45;49.65;0.69
DE;Germany;6.45;49.75;0.01
DE;Germany;6.45;49.85;0.83
DE;Germany;6.45;49.95;1.00
DE;Germany;6.45;50.05;1.00
DE;Germany;6.45;50.15;1.00
DE;Germany;6.45;50.25;1.00
DE;Germany;6.45;50.35;0.99
DE;Germany;6.45;50.45;1.00
DE;Germany;6.45;50.55;1.00
DE;Germany;6.45;50.65;1.00
DE;Germany;6.45;50.75;1.00
DE;Germany;6.45;50.85;1.00
DE;Germany;6.45;50.95;1.00
DE;Germany;6.45;51.05;1.00
DE;Germany;6.45;51.15;1.00
DE;Germany;6.45;51.25;1.00
DE;Germany;6.45;51.35;1.00
DE;Germany;6.45;51.45;1.00
DE;Germany;6.45;51.55;1.00
DE;Germany;6.45;51.65;1.00
DE;Germany;6.45;51.75;1.00
DE;Germany;6.45;51.85;0.62
DE;Germany;6.55;49.35;0.17
DE;Germany;6.55;49.45;0.83
DE;Germany;6.55;49.55;1.00
DE;Germany;6.55;49.65;1.00
DE;Germany;6.55;49.75;0.92
DE;Germany;6.55;49.85;0.98
DE;Germany;6.55;49.95;1.00
DE;Germany;6.55;50.05;1.00
DE;Germany;6.55;50.15;1.00
DE;Germany;6.55;50.25;1.00
DE;Germany;6.55;50.35;1.00
DE;Germany;6.55;50.45;1.00
DE;Germany;6.55;50.55;1.00
DE;Germany;6.55;50.65;1.00
DE;Germany;6.55;50.75;1.00
DE;Germany;6.55;50.85;1.00
DE;Germany;6.55;50.95;1.00
DE;Germany;6.55;51.05;1.00
DE;Germany;6.55;51.15;1.00
DE;Germany;6.55;51.25;1.00
DE;Germany;6.55;51.35;1.00
DE;Germany;6.55;51.45;1.00
DE;Germany;6.55;51.55;1.00
DE;Germany;6.55;51.65;1.00
DE;Germany;6.55;51.75;1.00
DE;Germany;6.55;51.85;0.79
DE;Germany;6.65;49.25;0.25
DE;Germany;6.65;49.35;0.98
DE;Germany;6.65;49.45;1.00
DE;Germany;6.65;49.55;1.00
DE;Germany;6.65;49.65;1.00
DE;Germany;6.65;49.75;1.00
DE;Germany;6.65;49.85;1.00
DE;Germany;6.65;49.95;1.00
DE;Germany;6.65;50.05;1.00
DE;Germany;6.65;50.15;1.00
DE;Germany;6.65;50.25;1.00
DE;Germany;6.65;50.35;1.00
DE;Germany;6.65;50.45;1.00
DE;Germany;6.65;50.55;1.00
DE;Germany;6.65;50.65;1.00
DE;Germany;6.65;50.75;1.00
DE;Germany;6.65;50.85;1.00
DE;Germany;6.65;50.95;1.00
DE;Germany;6.65;51.05;1.00
DE;Germany;6.65;51.15;1.00
DE;Germany;6.65;51.25;1.00
DE;Germany;6.65;51.35;1.00
DE;Germany;6.65;51.45;1.00
DE;Germany;6.65;51.55;1.00
DE;Germany;6.65;51.65;1.00
DE;Germany;6.65;51.75;1.00
DE;Germany;6.65;51.85;1.00
DE;Germany;6.65;51.95;0.08
DE;Germany;6.65;52.05;0.01
DE;Germany;6.65;52.55;0.01
DE;Germany;6.65;53.55;0.12
DE;Germany;6.65;53.65;0.05
DE;Germany;6.75;49.15;0.27
DE;Germany;6.75;49.25;0.95
DE;Germany;6.75;49.35;1.00
DE;Germany;6.75;49.45;1.00
DE;Germany;6.75;49.55;1.00
DE;Germany;6.75;49.65;1.00
DE;Germany;6.75;49.75;1.00
DE;Germany;6.75;49.85;1.00
DE;Germany;6.75;49.95;1.00
DE;Germany;6.75;50.05;1.00
DE;Germany;6.75;50.15;1.00
DE;Germany;6.75;50.25;1.00
DE;Germany;6.75;50.35;1.00
DE;Germany;6.75;50.45;1.00
DE;Germany;6.75;50.55;1.00
DE;Germany;6.75;50.65;1.00
DE;Germany;6.75;50.75;1.00
DE;Germany;6.75;50.85;1.00
DE;Germany;6.75;50.95;1.00
DE;Germany;6.75;51.05;1.00
DE;Germany;6.75;51.15;1.00
DE;Germany;6.75;51.25;1.00
DE;Germany;6.75;51.35;1.00
DE;Germany;6.75;51.45;1.00
DE;Germany;6.75;51.55;1.00
DE;Germany;6.75;51.65;1.00
DE;Germany;6.75;51.75;1.00
