ISO2;country_name;longitude;latitude;fraction
ES;Spain;-9.35;43.05;0
ES;Spain;-9.25;42.85;0.03
ES;Spain;-9.25;42.95;0.59
ES;Spain;-9.25;43.05;0.65
ES;Spain;-9.25;43.15;0.04
ES;Spain;-9.15;42.75;0.13
ES;Spain;-9.15;42.85;0.33
ES;Spain;-9.15;42.95;0.85
ES;Spain;-9.15;43.05;0.99
ES;Spain;-9.15;43.15;0.73
ES;Spain;-9.15;43.25;0
ES;Spain;-9.05;42.45;0.03
ES;Spain;-9.05;42.55;0.44
ES;Spain;-9.05;42.65;0.46
ES;Spain;-9.05;42.75;0.32
ES;Spain;-9.05;42.85;1
ES;Spain;-9.05;42.95;1
ES;Spain;-9.05;43.05;1
ES;Spain;-9.05;43.15;0.92
ES;Spain;-9.05;43.25;0.07
ES;Spain;-8.95;42.15;0.01
ES;Spain;-8.95;42.25;0.04
ES;Spain;-8.95;42.35;0.05
ES;Spain;-8.95;42.45;0.08
ES;Spain;-8.95;42.55;0.23
ES;Spain;-8.95;42.65;0.92
ES;Spain;-8.95;42.75;0.7
ES;Spain;-8.95;42.85;0.98
ES;Spain;-8.95;42.95;1
ES;Spain;-8.95;43.05;1
ES;Spain;-8.95;43.15;1
ES;Spain;-8.95;43.25;0.64
ES;Spain;-8.95;43.35;0.02
ES;Spain;-8.85;41.85;0.1
ES;Spain;-8.85;41.95;0.82
ES;Spain;-8.85;42.05;0.9
ES;Spain;-8.85;42.15;0.34
ES;Spain;-8.85;42.25;0.24
ES;Spain;-8.85;42.35;0.14
ES;Spain;-8.85;42.45;0.65
ES;Spain;-8.85;42.55;0.27
ES;Spain;-8.85;42.65;0.57
ES;Spain;-8.85;42.75;0.99
ES;Spain;-8.85;42.85;0.98
ES;Spain;-8.85;42.95;1
ES;Spain;-8.85;43.05;1
ES;Spain;-8.85;43.15;1
ES;Spain;-8.85;43.25;1
ES;Spain;-8.85;43.35;0.27
ES;Spain;-8.75;41.95;0.51
ES;Spain;-8.75;42.05;1
ES;Spain;-8.75;42.15;1
ES;Spain;-8.75;42.25;0.59
ES;Spain;-8.75;42.35;0.6
ES;Spain;-8.75;42.45;0.91
ES;Spain;-8.75;42.55;0.97
ES;Spain;-8.75;42.65;0.84
ES;Spain;-8.75;42.75;1
ES;Spain;-8.75;42.85;1
ES;Spain;-8.75;42.95;1
ES;Spain;-8.75;43.05;1
ES;Spain;-8.75;43.15;1
ES;Spain;-8.75;43.25;0.96
ES;Spain;-8.75;43.35;0.02
ES;Spain;-8.65;41.95;0.03
ES;Spain;-8.65;42.05;0.72
ES;Spain;-8.65;42.15;1
ES;Spain;-8.65;42.25;0.88
ES;Spain;-8.65;42.35;0.84
ES;Spain;-8.65;42.45;0.93
ES;Spain;-8.65;42.55;1
ES;Spain;-8.65;42.65;1
ES;Spain;-8.65;42.75;1
ES;Spain;-8.65;42.85;1
ES;Spain;-8.65;42.95;1
ES;Spain;-8.65;43.05;1
ES;Spain;-8.65;43.15;1
ES;Spain;-8.65;43.25;0.99
ES;Spain;-8.65;43.35;0.08
ES;Spain;-8.55;42.05;0.39
ES;Spain;-8.55;42.15;1
ES;Spain;-8.55;42.25;1
ES;Spain;-8.55;42.35;1
ES;Spain;-8.55;42.45;1
ES;Spain;-8.55;42.55;1
ES;Spain;-8.55;42.65;1
ES;Spain;-8.55;42.75;1
ES;Spain;-8.55;42.85;1
ES;Spain;-8.55;42.95;1
ES;Spain;-8.55;43.05;1
ES;Spain;-8.55;43.15;1
ES;Spain;-8.55;43.25;1
ES;Spain;-8.55;43.35;0.19
ES;Spain;-8.45;42.05;0.21
ES;Spain;-8.45;42.15;1
ES;Spain;-8.45;42.25;1
ES;Spain;-8.45;42.35;1
ES;Spain;-8.45;42.45;1
ES;Spain;-8.45;42.55;1
ES;Spain;-8.45;42.65;1
ES;Spain;-8.45;42.75;1
ES;Spain;-8.45;42.85;1
ES;Spain;-8.45;42.95;1
ES;Spain;-8.45;43.05;1
ES;Spain;-8.45;43.15;1
ES;Spain;-8.45;43.25;1
ES;Spain;-8.45;43.35;0.69
ES;Spain;-8.35;42.05;0.12
ES;Spain;-8.35;42.15;0.99
ES;Spain;-8.35;42.25;1
