ISO2;country_name;longitude;latitude;fraction
FI;Finland;20.55;69.05;0.08
FI;Finland;20.65;63.25;0.01
FI;Finland;20.65;69.05;0.55
FI;Finland;20.65;69.15;0.03
FI;Finland;20.75;63.15;0.00
FI;Finland;20.75;69.05;0.68
FI;Finland;20.75;69.15;0.11
FI;Finland;20.85;62.95;0.02
FI;Finland;20.85;63.15;0.02
FI;Finland;20.85;68.95;0.14
FI;Finland;20.85;69.05;0.82
FI;Finland;20.95;68.85;0.09
FI;Finland;20.95;68.95;0.93
FI;Finland;20.95;69.05;0.62
FI;Finland;20.95;69.15;0.01
FI;Finland;20.95;69.25;0.01
FI;Finland;21.05;60.15;0.02
FI;Finland;21.05;60.75;0.03
FI;Finland;21.05;60.85;0.03
FI;Finland;21.05;62.55;0.14
FI;Finland;21.05;62.65;0.10
FI;Finland;21.05;62.75;0.12
FI;Finland;21.05;62.85;0.00
FI;Finland;21.05;63.25;0.02
FI;Finland;21.05;63.35;0.00
FI;Finland;21.05;63.45;0.04
FI;Finland;21.05;68.85;0.26
FI;Finland;21.05;68.95;1.00
FI;Finland;21.05;69.05;0.52
FI;Finland;21.05;69.15;0.62
FI;Finland;21.05;69.25;0.41
FI;Finland;21.15;59.95;0.01
FI;Finland;21.15;60.15;0.01
FI;Finland;21.15;60.35;0.07
FI;Finland;21.15;60.45;0.01
FI;Finland;21.15;60.55;0.03
FI;Finland;21.15;60.65;0.02
FI;Finland;21.15;60.75;0.04
FI;Finland;21.15;60.85;0.08
FI;Finland;21.15;60.95;0.01
FI;Finland;21.15;62.35;0.04
FI;Finland;21.15;62.45;0.27
FI;Finland;21.15;62.55;0.40
FI;Finland;21.15;62.65;0.71
FI;Finland;21.15;62.75;0.54
FI;Finland;21.15;62.85;0.23
FI;Finland;21.15;62.95;0.35
FI;Finland;21.15;63.05;0.06
FI;Finland;21.15;63.15;0.06
FI;Finland;21.15;63.25;0.61
FI;Finland;21.15;63.35;0.18
FI;Finland;21.15;68.85;0.59
FI;Finland;21.15;68.95;1.00
FI;Finland;21.15;69.05;0.99
FI;Finland;21.15;69.15;1.00
FI;Finland;21.15;69.25;0.76
FI;Finland;21.25;59.95;0.10
FI;Finland;21.25;60.05;0.01
FI;Finland;21.25;60.15;0.05
FI;Finland;21.25;60.25;0.10
FI;Finland;21.25;60.35;0.04
FI;Finland;21.25;60.45;0.03
FI;Finland;21.25;60.55;0.35
FI;Finland;21.25;60.65;0.34
