ISO2;country_name;longitude;latitude;fraction
FR;France;-5.15;48.45;0.07
FR;France;-5.05;48.45;0.17
FR;France;-4.95;48.35;0.02
FR;France;-4.95;48.45;0.01
FR;France;-4.85;48.05;0.02
FR;France;-4.85;48.35;0.02
FR;France;-4.85;48.45;0
FR;France;-4.75;48.05;0.06
FR;France;-4.75;48.35;0.51
FR;France;-4.75;48.45;0.79
FR;France;-4.75;48.55;0.35
FR;France;-4.65;48.05;0.46
FR;France;-4.65;48.25;0.05
FR;France;-4.65;48.35;0.54
FR;France;-4.65;48.45;1
FR;France;-4.65;48.55;0.77
FR;France;-4.65;48.65;0.01
FR;France;-4.55;47.95;0
FR;France;-4.55;48.05;0.77
FR;France;-4.55;48.15;0.08
FR;France;-4.55;48.25;0.63
FR;France;-4.55;48.35;0.55
FR;France;-4.55;48.45;1
FR;France;-4.55;48.55;0.96
FR;France;-4.55;48.65;0.22
FR;France;-4.45;47.95;0.26
FR;France;-4.45;48.05;0.97
FR;France;-4.45;48.15;0.01
FR;France;-4.45;48.25;0.56
FR;France;-4.45;48.35;0.33
FR;France;-4.45;48.45;1
FR;France;-4.45;48.55;1
FR;France;-4.45;48.65;0.38
FR;France;-4.35;47.75;0.03
FR;France;-4.35;47.85;0.62
FR;France;-4.35;47.95;0.94
FR;France;-4.35;48.05;0.98
FR;France;-4.35;48.15;0.04
FR;France;-4.35;48.25;0.77
FR;France;-4.35;48.35;0.64
FR;France;-4.35;48.45;0.97
FR;France;-4.35;48.55;1
FR;France;-4.35;48.65;0.68
FR;France;-4.25;47.75;0.07
FR;France;-4.25;47.85;1
FR;France;-4.25;47.95;1
FR;France;-4.25;48.05;1
FR;France;-4.25;48.15;0.87
FR;France;-4.25;48.25;0.87
FR;France;-4.25;48.35;0.92
FR;France;-4.25;48.45;1
FR;France;-4.25;48.55;1
FR;France;-4.25;48.65;0.52
FR;France;-4.15;47.75;0.01
FR;France;-4.15;47.85;0.54
FR;France;-4.15;47.95;1
FR;France;-4.15;48.05;1
FR;France;-4.15;48.15;1
FR;France;-4.15;48.25;0.98
FR;France;-4.15;48.35;1
FR;France;-4.15;48.45;1
FR;France;-4.15;48.55;1
FR;France;-4.15;48.65;0.91
FR;France;-4.05;47.75;0.01
FR;France;-4.05;47.85;0.45
FR;France;-4.05;47.95;1
FR;France;-4.05;48.05;1
FR;France;-4.05;48.15;1
FR;France;-4.05;48.25;1
FR;France;-4.05;48.35;1
FR;France;-4.05;48.45;1
FR;France;-4.05;48.55;1
FR;France;-4.05;48.65;0.97
FR;France;-4.05;48.75;0.12
FR;France;-3.95;47.75;0.02
FR;France;-3.95;47.85;0.24
FR;France;-3.95;47.95;1
FR;France;-3.95;48.05;1
FR;France;-3.95;48.15;1
FR;France;-3.95;48.25;1
FR;France;-3.95;48.35;1
FR;France;-3.95;48.45;1
FR;France;-3.95;48.55;1
FR;France;-3.95;48.65;0.78
FR;France;-3.95;48.75;0.08
FR;France;-3.85;47.75;0.04
FR;France;-3.85;47.85;0.91
FR;France;-3.85;47.95;1
FR;France;-3.85;48.05;1
FR;France;-3.85;48.15;1
FR;France;-3.85;48.25;1
FR;France;-3.85;48.35;1
FR;France;-3.85;48.45;1
FR;France;-3.85;48.55;1
FR;France;-3.85;48.65;0.71
FR;France;-3.85;48.75;0.05
FR;France;-3.75;47.75;0.07
FR;France;-3.75;47.85;0.98
FR;France;-3.75;47.95;1
FR;France;-3.75;48.05;1
FR;France;-3.75;48.15;1
FR;France;-3.75;48.25;1
FR;France;-3.75;48.35;1
FR;France;-3.75;48.45;1
FR;France;-3.75;48.55;1
FR;France;-3.75;48.65;0.99
FR;France;-3.75;48.75;0.06
FR;France;-3.65;47.75;0.24
FR;France;-3.65;47.85;1
FR;France;-3.65;47.95;1
FR;France;-3.65;48.05;1
FR;France;-3.65;48.15;1
FR;France;-3.65;48.25;1
FR;France;-3.65;48.35;1
FR;France;-3.65;48.45;1
FR;France;-3.65;48.55;1
