ISO2;country_name;longitude;latitude;fraction
NL;Netherlands;3.35;51.25;0.05
NL;Netherlands;3.35;51.35;0.19
NL;Netherlands;3.45;51.25;0.49
NL;Netherlands;3.45;51.35;0.92
NL;Netherlands;3.45;51.45;0.01
NL;Netherlands;3.45;51.55;0.30
NL;Netherlands;3.55;51.25;0.15
NL;Netherlands;3.55;51.35;0.96
NL;Netherlands;3.55;51.45;0.48
NL;Netherlands;3.55;51.55;0.84
NL;Netherlands;3.65;51.25;0.07
NL;Netherlands;3.65;51.35;0.75
NL;Netherlands;3.65;51.45;0.51
NL;Netherlands;3.65;51.55;0.93
NL;Netherlands;3.65;51.65;0.10
NL;Netherlands;3.65;51.75;0.04
NL;Netherlands;3.75;51.25;0.34
NL;Netherlands;3.75;51.35;0.49
NL;Netherlands;3.75;51.45;0.83
NL;Netherlands;3.75;51.55;1.00
NL;Netherlands;3.75;51.65;0.95
NL;Netherlands;3.75;51.75;0.37
NL;Netherlands;3.85;51.15;0.00
NL;Netherlands;3.85;51.25;0.92
NL;Netherlands;3.85;51.35;0.50
NL;Netherlands;3.85;51.45;1.00
NL;Netherlands;3.85;51.55;1.00
NL;Netherlands;3.85;51.65;1.00
NL;Netherlands;3.85;51.75;0.70
NL;Netherlands;3.85;51.85;0.09
NL;Netherlands;3.95;51.15;0.00
NL;Netherlands;3.95;51.25;0.83
NL;Netherlands;3.95;51.35;0.76
NL;Netherlands;3.95;51.45;0.56
NL;Netherlands;3.95;51.55;1.00
NL;Netherlands;3.95;51.65;1.00
NL;Netherlands;3.95;51.75;1.00
NL;Netherlands;3.95;51.85;0.36
NL;Netherlands;3.95;51.95;0.01
NL;Netherlands;4.05;51.25;0.50
NL;Netherlands;4.05;51.35;0.77
NL;Netherlands;4.05;51.45;0.76
NL;Netherlands;4.05;51.55;1.00
NL;Netherlands;4.05;51.65;1.00
NL;Netherlands;4.05;51.75;1.00
NL;Netherlands;4.05;51.85;0.67
NL;Netherlands;4.05;51.95;0.64
NL;Netherlands;4.15;51.25;0.12
NL;Netherlands;4.15;51.35;0.60
NL;Netherlands;4.15;51.45;0.98
NL;Netherlands;4.15;51.55;1.00
NL;Netherlands;4.15;51.65;1.00
NL;Netherlands;4.15;51.75;1.00
NL;Netherlands;4.15;51.85;1.00
NL;Netherlands;4.15;51.95;0.98
NL;Netherlands;4.15;52.05;0.20
NL;Netherlands;4.25;51.35;0.27
NL;Netherlands;4.25;51.45;1.00
NL;Netherlands;4.25;51.55;1.00
NL;Netherlands;4.25;51.65;1.00
NL;Netherlands;4.25;51.75;1.00
NL;Netherlands;4.25;51.85;1.00
NL;Netherlands;4.25;51.95;1.00
NL;Netherlands;4.25;52.05;0.86
NL;Netherlands;4.25;52.15;0.05
NL;Netherlands;4.35;51.35;0.31
NL;Netherlands;4.35;51.45;0.97
NL;Netherlands;4.35;51.55;1.00
NL;Netherlands;4.35;51.65;1.00
NL;Netherlands;4.35;51.75;1.00
NL;Netherlands;4.35;51.85;1.00
NL;Netherlands;4.35;51.95;1.00
NL;Netherlands;4.35;52.05;1.00
NL;Netherlands;4.35;52.15;0.66
NL;Netherlands;4.35;52.25;0.01
NL;Netherlands;4.45;51.35;0.07
NL;Netherlands;4.45;51.45;0.29
NL;Netherlands;4.45;51.55;1.00
NL;Netherlands;4.45;51.65;1.00
NL;Netherlands;4.45;51.75;1.00
NL;Netherlands;4.45;51.85;1.00
NL;Netherlands;4.45;51.95;1.00
NL;Netherlands;4.45;52.05;1.00
NL;Netherlands;4.45;52.15;1.00
NL;Netherlands;4.45;52.25;0.66
NL;Netherlands;4.45;52.35;0.05
NL;Netherlands;4.55;51.45;0.51
NL;Netherlands;4.55;51.55;1.00
NL;Netherlands;4.55;51.65;1.00
NL;Netherlands;4.55;51.75;1.00
NL;Netherlands;4.55;51.85;1.00
NL;Netherlands;4.55;51.95;1.00
NL;Netherlands;4.55;52.05;1.00
NL;Netherlands;4.55;52.15;1.00
NL;Netherlands;4.55;52.25;1.00
NL;Netherlands;4.55;52.35;0.87
NL;Netherlands;4.55;52.45;0.34
NL;Netherlands;4.55;52.55;0.02
NL;Netherlands;4.65;51.45;0.69
NL;Netherlands;4.65;51.55;1.00
NL;Netherlands;4.65;51.65;1.00
NL;Netherlands;4.65;51.75;1.00
NL;Netherlands;4.65;51.85;1.00
NL;Netherlands;4.65;51.95;1.00
NL;Netherlands;4.65;52.05;1.00
NL;Netherlands;4.65;52.15;1.00
NL;Netherlands;4.65;52.25;1.00
NL;Netherlands;4.65;52.35;1.00
NL;Netherlands;4.65;52.45;1.00
NL;Netherlands;4.65;52.55;0.95
NL;Netherlands;4.65;52.65;0.74
NL;Netherlands;4.65;52.75;0.50
NL;Netherlands;4.65;52.85;0.07
NL;Netherlands;4.65;52.95;0.07
NL;Netherlands;4.75;51.45;0.17
NL;Netherlands;4.75;51.55;0.99
NL;Netherlands;4.75;51.65;1.00
NL;Netherlands;4.75;51.75;1.00
NL;Netherlands;4.75;51.85;1.00
NL;Netherlands;4.75;51.95;1.00
NL;Netherlands;4.75;52.05;1.00
NL;Netherlands;4.75;52.15;1.00
NL;Netherlands;4.75;52.25;1.00
NL;Netherlands;4.75;52.35;1.00
NL;Netherlands;4.75;52.45;1.00
NL;Netherlands;4.75;52.55;1.00
NL;Netherlands;4.75;52.65;1.00
NL;Netherlands;4.75;52.75;1.00
NL;Netherlands;4.75;52.85;0.97
NL;Netherlands;4.75;52.95;0.56
NL;Netherlands;4.75;53.05;0.76
NL;Netherlands;4.75;53.15;0.11
NL;Netherlands;4.85;51.45;0.65
NL;Netherlands;4.85;51.55;1.00
NL;Netherlands;4.85;51.65;1.00
NL;Netherlands;4.85;51.75;1.00
NL;Netherlands;4.85;51.85;1.00
NL;Netherlands;4.85;51.95;1.00
NL;Netherlands;4.85;52.05;1.00
NL;Netherlands;4.85;52.15;1.00
NL;Netherlands;4.85;52.25;1.00
NL;Netherlands;4.85;52.35;1.00
NL;Netherlands;4.85;52.45;1.00
NL;Netherlands;4.85;52.55;1.00
NL;Netherlands;4.85;52.65;1.00
NL;Netherlands;4.85;52.75;1.00
NL;Netherlands;4.85;52.85;0.95
NL;Netherlands;4.85;52.95;0.04
NL;Netherlands;4.85;53.05;0.55
NL;Netherlands;4.85;53.15;0.65
NL;Netherlands;4.85;53.25;0.09
NL;Netherlands;4.95;51.35;0.00
NL;Netherlands;4.95;51.45;0.82
NL;Netherlands;4.95;51.55;1.00
NL;Netherlands;4.95;51.65;1.00
NL;Netherlands;4.95;51.75;1.00
NL;Netherlands;4.95;51.85;1.00
NL;Netherlands;4.95;51.95;1.00
NL;Netherlands;4.95;52.05;1.00
NL;Netherlands;4.95;52.15;1.00
NL;Netherlands;4.95;52.25;1.00
NL;Netherlands;4.95;52.35;1.00
NL;Netherlands;4.95;52.45;1.00
NL;Netherlands;4.95;52.55;1.00
NL;Netherlands;4.95;52.65;1.00
NL;Netherlands;4.95;52.75;1.00
NL;Netherlands;4.95;52.85;0.99
NL;Netherlands;4.95;52.95;0.16
NL;Netherlands;4.95;53.15;0.01
NL;Netherlands;4.95;53.25;0.32
NL;Netherlands;5.05;51.35;0.03
NL;Netherlands;5.05;51.45;0.39
NL;Netherlands;5.05;51.55;1.00
NL;Netherlands;5.05;51.65;1.00
NL;Netherlands;5.05;51.75;1.00
NL;Netherlands;5.05;51.85;1.00
NL;Netherlands;5.05;51.95;1.00
NL;Netherlands;5.05;52.05;1.00
NL;Netherlands;5.05;52.15;1.00
NL;Netherlands;5.05;52.25;1.00
NL;Netherlands;5.05;52.35;1.00
NL;Netherlands;5.05;52.45;1.00
NL;Netherlands;5.05;52.55;1.00
NL;Netherlands;5.05;52.65;1.00
NL;Netherlands;5.05;52.75;1.00
NL;Netherlands;5.05;52.85;1.00
NL;Netherlands;5.05;52.95;0.44
