ISO2;country_name;longitude;latitude;fraction
NO;Norway;6.95;57.95;0.00
NO;Norway;7.05;57.95;0.09
NO;Norway;7.15;57.95;0.00
NO;Norway;7.25;57.95;0.01
NO;Norway;7.35;57.95;0.03
NO;Norway;7.45;57.95;0.03
NO;Norway;7.55;57.95;0.17
NO;Norway;7.65;57.95;0.04
NO;Norway;6.55;58.05;0.02
NO;Norway;6.65;58.05;0.26
NO;Norway;6.75;58.05;0.35
NO;Norway;6.85;58.05;0.27
NO;Norway;6.95;58.05;0.46
NO;Norway;7.05;58.05;0.76
NO;Norway;7.15;58.05;0.63
NO;Norway;7.25;58.05;0.66
NO;Norway;7.35;58.05;0.82
NO;Norway;7.45;58.05;0.84
NO;Norway;7.55;58.05;0.96
NO;Norway;7.65;58.05;0.80
NO;Norway;7.75;58.05;0.44
NO;Norway;7.85;58.05;0.36
NO;Norway;7.95;58.05;0.23
NO;Norway;8.05;58.05;0.06
NO;Norway;8.15;58.05;0.02
NO;Norway;6.55;58.15;0.10
NO;Norway;6.65;58.15;0.77
NO;Norway;6.75;58.15;1.00
NO;Norway;6.85;58.15;1.00
NO;Norway;6.95;58.15;1.00
NO;Norway;7.05;58.15;0.96
NO;Norway;7.15;58.15;1.00
NO;Norway;7.25;58.15;1.00
NO;Norway;7.35;58.15;1.00
NO;Norway;7.45;58.15;1.00
NO;Norway;7.55;58.15;1.00
NO;Norway;7.65;58.15;1.00
NO;Norway;7.75;58.15;1.00
NO;Norway;7.85;58.15;1.00
NO;Norway;7.95;58.15;0.93
NO;Norway;8.05;58.15;0.53
NO;Norway;8.15;58.15;0.80
NO;Norway;8.25;58.15;0.57
NO;Norway;8.35;58.15;0.06
NO;Norway;6.25;58.25;0.00
NO;Norway;6.35;58.25;0.15
NO;Norway;6.45;58.25;0.38
NO;Norway;6.55;58.25;0.79
NO;Norway;6.65;58.25;0.72
NO;Norway;6.75;58.25;0.87
NO;Norway;6.85;58.25;0.94
NO;Norway;6.95;58.25;1.00
NO;Norway;7.05;58.25;1.00
NO;Norway;7.15;58.25;1.00
NO;Norway;7.25;58.25;1.00
NO;Norway;7.35;58.25;1.00
NO;Norway;7.45;58.25;1.00
NO;Norway;7.55;58.25;1.00
NO;Norway;7.65;58.25;1.00
NO;Norway;7.75;58.25;1.00
NO;Norway;7.85;58.25;1.00
NO;Norway;7.95;58.25;1.00
NO;Norway;8.05;58.25;0.97
NO;Norway;8.15;58.25;1.00
NO;Norway;8.25;58.25;0.98
NO;Norway;8.35;58.25;0.87
NO;Norway;8.45;58.25;0.45
NO;Norway;8.55;58.25;0.14
NO;Norway;6.05;58.35;0.18
NO;Norway;6.15;58.35;0.54
NO;Norway;6.25;58.35;0.77
NO;Norway;6.35;58.35;0.96
NO;Norway;6.45;58.35;1.00
NO;Norway;6.55;58.35;1.00
NO;Norway;6.65;58.35;1.00
NO;Norway;6.75;58.35;1.00
NO;Norway;6.85;58.35;1.00
NO;Norway;6.95;58.35;1.00
NO;Norway;7.05;58.35;1.00
NO;Norway;7.15;58.35;1.00
NO;Norway;7.25;58.35;1.00
NO;Norway;7.35;58.35;1.00
NO;Norway;7.45;58.35;1.00
NO;Norway;7.55;58.35;1.00
NO;Norway;7.65;58.35;1.00
NO;Norway;7.75;58.35;1.00
NO;Norway;7.85;58.35;1.00
NO;Norway;7.95;58.35;1.00
NO;Norway;8.05;58.35;1.00
NO;Norway;8.15;58.35;1.00
NO;Norway;8.25;58.35;1.00
NO;Norway;8.35;58.35;1.00
NO;Norway;8.45;58.35;1.00
NO;Norway;8.55;58.35;0.91
NO;Norway;8.65;58.35;0.52
NO;Norway;8.75;58.35;0.04
NO;Norway;5.75;58.45;0.01
NO;Norway;5.85;58.45;0.33
NO;Norway;5.95;58.45;0.67
NO;Norway;6.05;58.45;0.98
NO;Norway;6.15;58.45;1.00
NO;Norway;6.25;58.45;1.00
NO;Norway;6.35;58.45;1.00
NO;Norway;6.45;58.45;1.00
NO;Norway;6.55;58.45;1.00
NO;Norway;6.65;58.45;1.00
NO;Norway;6.75;58.45;1.00
NO;Norway;6.85;58.45;1.00
NO;Norway;6.95;58.45;1.00
NO;Norway;7.05;58.45;1.00
NO;Norway;7.15;58.45;1.00
NO;Norway;7.25;58.45;1.00
NO;Norway;7.35;58.45;1.00
NO;Norway;7.45;58.45;1.00
NO;Norway;7.55;58.45;1.00
NO;Norway;7.65;58.45;1.00
NO;Norway;7.75;58.45;1.00
NO;Norway;7.85;58.45;1.00
NO;Norway;7.95;58.45;1.00
NO;Norway;8.05;58.45;1.00
NO;Norway;8.15;58.45;1.00
NO;Norway;8.25;58.45;1.00
NO;Norway;8.35;58.45;1.00
NO;Norway;8.45;58.45;1.00
NO;Norway;8.55;58.45;1.00
NO;Norway;8.65;58.45;1.00
NO;Norway;8.75;58.45;0.79
NO;Norway;8.85;58.45;0.50
NO;Norway;8.95;58.45;0.06
NO;Norway;5.65;58.55;0.30
NO;Norway;5.75;58.55;0.71
NO;Norway;5.85;58.55;1.00
NO;Norway;5.95;58.55;1.00
NO;Norway;6.05;58.55;1.00
NO;Norway;6.15;58.55;1.00
NO;Norway;6.25;58.55;1.00
NO;Norway;6.35;58.55;1.00
NO;Norway;6.45;58.55;1.00
NO;Norway;6.55;58.55;1.00
NO;Norway;6.65;58.55;1.00
NO;Norway;6.75;58.55;1.00
NO;Norway;6.85;58.55;1.00
NO;Norway;6.95;58.55;1.00
NO;Norway;7.05;58.55;1.00
NO;Norway;7.15;58.55;1.00
NO;Norway;7.25;58.55;1.00
NO;Norway;7.35;58.55;1.00
NO;Norway;7.45;58.55;1.00
NO;Norway;7.55;58.55;1.00
NO;Norway;7.65;58.55;1.00
NO;Norway;7.75;58.55;1.00
NO;Norway;7.85;58.55;1.00
NO;Norway;7.95;58.55;1.00
NO;Norway;8.05;58.55;1.00
NO;Norway;8.15;58.55;1.00
NO;Norway;8.25;58.55;1.00
NO;Norway;8.35;58.55;1.00
NO;Norway;8.45;58.55;1.00
NO;Norway;8.55;58.55;1.00
NO;Norway;8.65;58.55;1.00
NO;Norway;8.75;58.55;1.00
NO;Norway;8.85;58.55;0.98
NO;Norway;8.95;58.55;0.69
NO;Norway;9.05;58.55;0.17
NO;Norway;5.55;58.65;0.30
NO;Norway;5.65;58.65;0.98
NO;Norway;5.75;58.65;1.00
NO;Norway;5.85;58.65;1.00
NO;Norway;5.95;58.65;1.00
NO;Norway;6.05;58.65;1.00
NO;Norway;6.15;58.65;1.00
NO;Norway;6.25;58.65;1.00
NO;Norway;6.35;58.65;1.00
NO;Norway;6.45;58.65;1.00
NO;Norway;6.55;58.65;1.00
NO;Norway;6.65;58.65;1.00
NO;Norway;6.75;58.65;1.00
NO;Norway;6.85;58.65;1.00
NO;Norway;6.95;58.65;1.00
NO;Norway;7.05;58.65;1.00
NO;Norway;7.15;58.65;1.00
NO;Norway;7.25;58.65;1.00
NO;Norway;7.35;58.65;1.00
NO;Norway;7.45;58.65;1.00
NO;Norway;7.55;58.65;1.00
NO;Norway;7.65;58.65;1.00
NO;Norway;7.75;58.65;1.00
NO;Norway;7.85;58.65;1.00
NO;Norway;7.95;58.65;1.00
NO;Norway;8.05;58.65;1.00
NO;Norway;8.15;58.65;1.00
NO;Norway;8.25;58.65;1.00
NO;Norway;8.35;58.65;1.00
NO;Norway;8.45;58.65;1.00
NO;Norway;8.55;58.65;1.00
NO;Norway;8.65;58.65;1.00
NO;Norway;8.75;58.65;1.00
NO;Norway;8.85;58.65;1.00
NO;Norway;8.95;58.65;0.97
NO;Norway;9.05;58.65;0.88
NO;Norway;9.15;58.65;0.51
NO;Norway;9.25;58.65;0.06
NO;Norway;5.45;58.75;0.01
NO;Norway;5.55;58.75;0.81
NO;Norway;5.65;58.75;1.00
NO;Norway;5.75;58.75;1.00
NO;Norway;5.85;58.75;1.00
NO;Norway;5.95;58.75;1.00
NO;Norway;6.05;58.75;1.00
NO;Norway;6.15;58.75;1.00
NO;Norway;6.25;58.75;1.00
NO;Norway;6.35;58.75;1.00
NO;Norway;6.45;58.75;1.00
NO;Norway;6.55;58.75;1.00
NO;Norway;6.65;58.75;1.00
NO;Norway;6.75;58.75;1.00
NO;Norway;6.85;58.75;1.00
NO;Norway;6.95;58.75;1.00
NO;Norway;7.05;58.75;1.00
NO;Norway;7.15;58.75;1.00
NO;Norway;7.25;58.75;1.00
NO;Norway;7.35;58.75;1.00
NO;Norway;7.45;58.75;1.00
NO;Norway;7.55;58.75;1.00
NO;Norway;7.65;58.75;1.00
NO;Norway;7.75;58.75;1.00
NO;Norway;7.85;58.75;1.00
NO;Norway;7.95;58.75;1.00
NO;Norway;8.05;58.75;1.00
NO;Norway;8.15;58.75;1.00
NO;Norway;8.25;58.75;1.00
NO;Norway;8.35;58.75;1.00
NO;Norway;8.45;58.75;1.00
NO;Norway;8.55;58.75;1.00
NO;Norway;8.65;58.75;1.00
NO;Norway;8.75;58.75;1.00
NO;Norway;8.85;58.75;1.00
NO;Norway;8.95;58.75;1.00
NO;Norway;9.05;58.75;0.96
NO;Norway;9.15;58.75;0.89
NO;Norway;9.25;58.75;0.73
NO;Norway;9.35;58.75;0.41
NO;Norway;9.45;58.75;0.02
NO;Norway;5.45;58.85;0.01
NO;Norway;5.55;58.85;0.38
NO;Norway;5.65;58.85;0.99
NO;Norway;5.75;58.85;0.92
NO;Norway;5.85;58.85;1.00
NO;Norway;5.95;58.85;1.00
NO;Norway;6.05;58.85;0.90
NO;Norway;6.15;58.85;0.85
NO;Norway;6.25;58.85;0.94
NO;Norway;6.35;58.85;1.00
NO;Norway;6.45;58.85;1.00
NO;Norway;6.55;58.85;1.00
NO;Norway;6.65;58.85;1.00
NO;Norway;6.75;58.85;1.00
NO;Norway;6.85;58.85;1.00
NO;Norway;6.95;58.85;1.00
NO;Norway;7.05;58.85;1.00
NO;Norway;7.15;58.85;1.00
NO;Norway;7.25;58.85;1.00
NO;Norway;7.35;58.85;1.00
NO;Norway;7.45;58.85;1.00
NO;Norway;7.55;58.85;1.00
NO;Norway;7.65;58.85;1.00
NO;Norway;7.75;58.85;1.00
NO;Norway;7.85;58.85;1.00
NO;Norway;7.95;58.85;1.00
NO;Norway;8.05;58.85;1.00
NO;Norway;8.15;58.85;1.00
NO;Norway;8.25;58.85;1.00
NO;Norway;8.35;58.85;1.00
NO;Norway;8.45;58.85;1.00
NO;Norway;8.55;58.85;1.00
NO;Norway;8.65;58.85;1.00
NO;Norway;8.75;58.85;1.00
NO;Norway;8.85;58.85;1.00
NO;Norway;8.95;58.85;1.00
NO;Norway;9.05;58.85;1.00
NO;Norway;9.15;58.85;1.00
NO;Norway;9.25;58.85;0.99
NO;Norway;9.35;58.85;0.79
NO;Norway;9.45;58.85;0.54
NO;Norway;9.55;58.85;0.32
NO;Norway;9.65;58.85;0.03
NO;Norway;11.45;58.85;0.04
NO;Norway;11.55;58.85;0.11
NO;Norway;11.65;58.85;0.01
NO;Norway;5.45;58.95;0.02
NO;Norway;5.55;58.95;0.23
NO;Norway;5.65;58.95;0.80
NO;Norway;5.75;58.95;0.58
NO;Norway;5.85;58.95;0.56
NO;Norway;5.95;58.95;0.53
NO;Norway;6.05;58.95;0.69
NO;Norway;6.15;58.95;0.88
NO;Norway;6.25;58.95;0.91
NO;Norway;6.35;58.95;1.00
NO;Norway;6.45;58.95;1.00
NO;Norway;6.55;58.95;1.00
NO;Norway;6.65;58.95;1.00
NO;Norway;6.75;58.95;1.00
NO;Norway;6.85;58.95;1.00
NO;Norway;6.95;58.95;1.00
NO;Norway;7.05;58.95;1.00
NO;Norway;7.15;58.95;1.00
NO;Norway;7.25;58.95;1.00
NO;Norway;7.35;58.95;1.00
NO;Norway;7.45;58.95;1.00
NO;Norway;7.55;58.95;1.00
NO;Norway;7.65;58.95;1.00
NO;Norway;7.75;58.95;1.00
NO;Norway;7.85;58.95;1.00
NO;Norway;7.95;58.95;1.00
NO;Norway;8.05;58.95;1.00
NO;Norway;8.15;58.95;1.00
NO;Norway;8.25;58.95;1.00
NO;Norway;8.35;58.95;1.00
NO;Norway;8.45;58.95;1.00
NO;Norway;8.55;58.95;1.00
NO;Norway;8.65;58.95;1.00
NO;Norway;8.75;58.95;1.00
NO;Norway;8.85;58.95;1.00
NO;Norway;8.95;58.95;1.00
NO;Norway;9.05;58.95;1.00
NO;Norway;9.15;58.95;1.00
NO;Norway;9.25;58.95;1.00
NO;Norway;9.35;58.95;1.00
NO;Norway;9.45;58.95;0.95
NO;Norway;9.55;58.95;0.84
NO;Norway;9.65;58.95;0.47
NO;Norway;9.75;58.95;0.05
NO;Norway;9.85;58.95;0.23
NO;Norway;9.95;58.95;0.32
NO;Norway;10.05;58.95;0.11
NO;Norway;10.15;58.95;0.02
NO;Norway;10.25;58.95;0.01
NO;Norway;10.85;58.95;0.00
NO;Norway;10.95;58.95;0.02
NO;Norway;11.05;58.95;0.03
NO;Norway;11.45;58.95;0.37
NO;Norway;11.55;58.95;1.00
NO;Norway;11.65;58.95;0.77
NO;Norway;11.75;58.95;0.00
NO;Norway;5.35;59.05;0.03
NO;Norway;5.45;59.05;0.08
NO;Norway;5.55;59.05;0.13
NO;Norway;5.65;59.05;0.43
NO;Norway;5.75;59.05;0.35
NO;Norway;5.85;59.05;0.07
NO;Norway;5.95;59.05;0.66
NO;Norway;6.05;59.05;0.90
NO;Norway;6.15;59.05;1.00
NO;Norway;6.25;59.05;0.93
NO;Norway;6.35;59.05;0.85
NO;Norway;6.45;59.05;0.87
NO;Norway;6.55;59.05;0.91
NO;Norway;6.65;59.05;0.97
NO;Norway;6.75;59.05;1.00
NO;Norway;6.85;59.05;1.00
NO;Norway;6.95;59.05;1.00
NO;Norway;7.05;59.05;1.00
NO;Norway;7.15;59.05;1.00
NO;Norway;7.25;59.05;1.00
NO;Norway;7.35;59.05;1.00
NO;Norway;7.45;59.05;1.00
NO;Norway;7.55;59.05;1.00
NO;Norway;7.65;59.05;1.00
NO;Norway;7.75;59.05;1.00
NO;Norway;7.85;59.05;1.00
NO;Norway;7.95;59.05;1.00
NO;Norway;8.05;59.05;1.00
NO;Norway;8.15;59.05;1.00
NO;Norway;8.25;59.05;1.00
NO;Norway;8.35;59.05;1.00
NO;Norway;8.45;59.05;1.00
NO;Norway;8.55;59.05;1.00
NO;Norway;8.65;59.05;1.00
NO;Norway;8.75;59.05;1.00
NO;Norway;8.85;59.05;1.00
NO;Norway;8.95;59.05;1.00
NO;Norway;9.05;59.05;1.00
NO;Norway;9.15;59.05;1.00
NO;Norway;9.25;59.05;1.00
NO;Norway;9.35;59.05;1.00
NO;Norway;9.45;59.05;1.00
NO;Norway;9.55;59.05;1.00
NO;Norway;9.65;59.05;0.99
NO;Norway;9.75;59.05;0.59
NO;Norway;9.85;59.05;0.89
NO;Norway;9.95;59.05;1.00
NO;Norway;10.05;59.05;0.79
NO;Norway;10.15;59.05;0.82
NO;Norway;10.25;59.05;0.33
NO;Norway;10.35;59.05;0.06
NO;Norway;10.45;59.05;0.18
NO;Norway;10.55;59.05;0.02
NO;Norway;10.75;59.05;0.01
NO;Norway;10.85;59.05;0.20
NO;Norway;10.95;59.05;0.37
NO;Norway;11.05;59.05;0.60
NO;Norway;11.15;59.05;0.04
NO;Norway;11.25;59.05;0.05
NO;Norway;11.35;59.05;0.05
NO;Norway;11.45;59.05;0.83
NO;Norway;11.55;59.05;1.00
NO;Norway;11.65;59.05;1.00
NO;Norway;11.75;59.05;0.37
NO;Norway;5.15;59.15;0.09
NO;Norway;5.25;59.15;0.57
NO;Norway;5.35;59.15;0.13
NO;Norway;5.45;59.15;0.20
NO;Norway;5.55;59.15;0.07
NO;Norway;5.65;59.15;0.23
NO;Norway;5.75;59.15;0.26
NO;Norway;5.85;59.15;0.45
NO;Norway;5.95;59.15;0.38
NO;Norway;6.05;59.15;0.61
NO;Norway;6.15;59.15;0.94
NO;Norway;6.25;59.15;1.00
NO;Norway;6.35;59.15;1.00
NO;Norway;6.45;59.15;1.00
NO;Norway;6.55;59.15;1.00
NO;Norway;6.65;59.15;1.00
NO;Norway;6.75;59.15;1.00
NO;Norway;6.85;59.15;1.00
NO;Norway;6.95;59.15;1.00
NO;Norway;7.05;59.15;1.00
NO;Norway;7.15;59.15;1.00
NO;Norway;7.25;59.15;1.00
NO;Norway;7.35;59.15;1.00
NO;Norway;7.45;59.15;1.00
NO;Norway;7.55;59.15;1.00
NO;Norway;7.65;59.15;1.00
NO;Norway;7.75;59.15;1.00
NO;Norway;7.85;59.15;1.00
NO;Norway;7.95;59.15;1.00
NO;Norway;8.05;59.15;1.00
NO;Norway;8.15;59.15;1.00
NO;Norway;8.25;59.15;1.00
NO;Norway;8.35;59.15;1.00
NO;Norway;8.45;59.15;1.00
NO;Norway;8.55;59.15;1.00
NO;Norway;8.65;59.15;1.00
NO;Norway;8.75;59.15;1.00
NO;Norway;8.85;59.15;1.00
NO;Norway;8.95;59.15;1.00
NO;Norway;9.05;59.15;1.00
NO;Norway;9.15;59.15;1.00
NO;Norway;9.25;59.15;1.00
NO;Norway;9.35;59.15;1.00
NO;Norway;9.45;59.15;1.00
NO;Norway;9.55;59.15;1.00
NO;Norway;9.65;59.15;1.00
NO;Norway;9.75;59.15;0.99
NO;Norway;9.85;59.15;1.00
NO;Norway;9.95;59.15;1.00
NO;Norway;10.05;59.15;1.00
