ISO2;country_name;longitude;latitude;fraction
SE;Sweden;10.95;58.75;0.00
SE;Sweden;10.95;58.85;0.06
SE;Sweden;10.95;58.95;0.02
SE;Sweden;11.05;58.55;0.03
SE;Sweden;11.05;58.85;0.20
SE;Sweden;11.05;58.95;0.04
SE;Sweden;11.15;58.35;0.00
SE;Sweden;11.15;58.45;0.00
SE;Sweden;11.15;58.55;0.02
SE;Sweden;11.15;58.65;0.03
SE;Sweden;11.15;58.75;0.27
SE;Sweden;11.15;58.85;0.41
SE;Sweden;11.15;58.95;0.67
SE;Sweden;11.15;59.05;0.40
SE;Sweden;11.25;58.35;0.34
SE;Sweden;11.25;58.45;0.31
SE;Sweden;11.25;58.55;0.44
SE;Sweden;11.25;58.65;0.56
SE;Sweden;11.25;58.75;0.90
SE;Sweden;11.25;58.85;0.90
SE;Sweden;11.25;58.95;1.00
SE;Sweden;11.25;59.05;0.92
SE;Sweden;11.25;59.15;0.00
SE;Sweden;11.35;58.05;0.01
SE;Sweden;11.35;58.15;0.14
SE;Sweden;11.35;58.25;0.09
SE;Sweden;11.35;58.35;0.45
SE;Sweden;11.35;58.45;0.94
SE;Sweden;11.35;58.55;0.99
SE;Sweden;11.35;58.65;1.00
SE;Sweden;11.35;58.75;1.00
SE;Sweden;11.35;58.85;1.00
SE;Sweden;11.35;58.95;1.00
SE;Sweden;11.35;59.05;0.95
SE;Sweden;11.35;59.15;0.06
SE;Sweden;11.45;57.85;0.00
SE;Sweden;11.45;57.95;0.00
SE;Sweden;11.45;58.05;0.21
SE;Sweden;11.45;58.15;0.67
SE;Sweden;11.45;58.25;0.57
SE;Sweden;11.45;58.35;0.84
SE;Sweden;11.45;58.45;0.95
SE;Sweden;11.45;58.55;1.00
SE;Sweden;11.45;58.65;1.00
SE;Sweden;11.45;58.75;1.00
SE;Sweden;11.45;58.85;0.96
SE;Sweden;11.45;58.95;0.63
SE;Sweden;11.45;59.05;0.17
SE;Sweden;11.55;57.65;0.00
SE;Sweden;11.55;57.75;0.00
SE;Sweden;11.55;57.85;0.15
SE;Sweden;11.55;57.95;0.44
SE;Sweden;11.55;58.05;0.68
SE;Sweden;11.55;58.15;0.94
SE;Sweden;11.55;58.25;0.72
SE;Sweden;11.55;58.35;0.74
SE;Sweden;11.55;58.45;0.90
SE;Sweden;11.55;58.55;1.00
SE;Sweden;11.55;58.65;1.00
SE;Sweden;11.55;58.75;1.00
SE;Sweden;11.55;58.85;0.89
SE;Sweden;11.65;57.65;0.15
SE;Sweden;11.65;57.75;0.31
SE;Sweden;11.65;57.85;0.32
SE;Sweden;11.65;57.95;0.51
SE;Sweden;11.65;58.05;0.75
SE;Sweden;11.65;58.15;0.83
SE;Sweden;11.65;58.25;0.81
SE;Sweden;11.65;58.35;0.88
SE;Sweden;11.65;58.45;0.91
SE;Sweden;11.65;58.55;1.00
SE;Sweden;11.65;58.65;1.00
SE;Sweden;11.65;58.75;1.00
SE;Sweden;11.65;58.85;0.99
SE;Sweden;11.65;58.95;0.23
SE;Sweden;11.65;59.05;0.00
SE;Sweden;11.65;59.55;0.01
SE;Sweden;11.65;59.65;0.00
SE;Sweden;11.75;57.55;0.11
SE;Sweden;11.75;57.65;0.28
SE;Sweden;11.75;57.75;0.49
SE;Sweden;11.75;57.85;0.90
SE;Sweden;11.75;57.95;0.40
SE;Sweden;11.75;58.05;0.53
SE;Sweden;11.75;58.15;0.86
SE;Sweden;11.75;58.25;0.88
SE;Sweden;11.75;58.35;0.72
SE;Sweden;11.75;58.45;1.00
SE;Sweden;11.75;58.55;1.00
SE;Sweden;11.75;58.65;1.00
SE;Sweden;11.75;58.75;1.00
SE;Sweden;11.75;58.85;1.00
SE;Sweden;11.75;58.95;1.00
