Lon	Lat	WDP
26.75	71.25	0.023063654
27.25	71.25	0.02138957
27.75	71.25	0.020634386
21.75	70.75	0.01796086
22.25	70.75	0.01754617
22.75	70.75	0.01086719
23.25	70.75	0.011801593
24.25	70.75	0.021083025
24.75	70.75	0.022958727
25.25	70.75	0.022318566
25.75	70.75	0.020742541
26.25	70.75	0.020311893
26.75	70.75	0.018633201
27.25	70.75	0.017173237
27.75	70.75	0.015098997
28.25	70.75	0.011734082
28.75	70.75	0.011038985
29.25	70.75	0.012659893
29.75	70.75	0.011619513
30.25	70.75	0.010977863
30.75	70.75	0.012261775
21.75	70.25	0.017495771
22.25	70.25	0.016707521
22.75	70.25	0.01478522
23.25	70.25	0.019395807
23.75	70.25	0.02088145
24.25	70.25	0.02143373
24.75	70.25	0.020655218
25.25	70.25	0.018855256
25.75	70.25	0.014426146
26.25	70.25	0.011914326
26.75	70.25	0.012953509
27.25	70.25	0.01314838
27.75	70.25	0.010535645
28.25	70.25	0.010264139
28.75	70.25	0.011027908
29.25	70.25	0.011115909
29.75	70.25	0.010157734
30.25	70.25	0.009311114
30.75	70.25	0.011685853
31.25	70.25	0.01190802
19.25	69.75	0.006178806
19.75	69.75	0.009957771
20.25	69.75	0.012688005
20.75	69.75	0.017222314
21.25	69.75	0.020003025
21.75	69.75	0.019218315
22.25	69.75	0.017679962
22.75	69.75	0.018963281
23.25	69.75	0.018315905
23.75	69.75	0.016922232
24.25	69.75	0.018236981
24.75	69.75	0.017938918
25.25	69.75	0.015734016
25.75	69.75	0.012566513
26.25	69.75	0.010007871
26.75	69.75	0.009580329
27.25	69.75	0.009137013
27.75	69.75	0.00897757
28.25	69.75	0.009199567
28.75	69.75	0.009179505
29.25	69.75	0.009004428
29.75	69.75	0.009091635
30.25	69.75	0.009233702
30.75	69.75	0.009498203
31.25	69.75	0.010101511
16.75	69.25	0.017972368
17.25	69.25	0.015725467
17.75	69.25	0.009377278
18.25	69.25	0.005887529
18.75	69.25	0.006935943
19.25	69.25	0.009512955
19.75	69.25	0.013482555
20.25	69.25	0.01532691
20.75	69.25	0.017540086
21.25	69.25	0.018696682
21.75	69.25	0.015599638
22.25	69.25	0.012264928
22.75	69.25	0.011750314
23.25	69.25	0.012736144
23.75	69.25	0.017352622
24.25	69.25	0.01830961
24.75	69.25	0.017079223
25.25	69.25	0.01638768
25.75	69.25	0.013359272
26.25	69.25	0.011030362
26.75	69.25	0.010404403
27.25	69.25	0.010510371
27.75	69.25	0.010602316
28.25	69.25	0.009879125
28.75	69.25	0.008036428
29.25	69.25	0.008670974
29.75	69.25	0.00926312
14.25	68.75	0.019784509
14.75	68.75	0.017211848
15.25	68.75	0.012055772
15.75	68.75	0.00641857
16.25	68.75	0.004853401
16.75	68.75	0.008988761
17.25	68.75	0.011809748
17.75	68.75	0.01514336
18.25	68.75	0.016953686
18.75	68.75	0.016987426
19.25	68.75	0.016321728
19.75	68.75	0.01486497
20.25	68.75	0.014618887
20.75	68.75	0.014010256
21.25	68.75	0.012321152
21.75	68.75	0.008733488
22.25	68.75	0.006983069
22.75	68.75	0.0086543
23.25	68.75	0.011268551
23.75	68.75	0.013608245
24.25	68.75	0.013617557
24.75	68.75	0.013048722
25.25	68.75	0.01306294
25.75	68.75	0.011479667
26.25	68.75	0.011724649
26.75	68.75	0.011482222
27.25	68.75	0.011548173
27.75	68.75	0.011588246
28.25	68.75	0.010604767
28.75	68.75	0.009547588
29.25	68.75	0.008824742
14.75	68.25	0.01338161
15.25	68.25	0.01338161
15.75	68.25	0.01444151
16.25	68.25	0.015935037
16.75	68.25	0.019461408
17.25	68.25	0.018757653
17.75	68.25	0.019567239
18.25	68.25	0.019284558
18.75	68.25	0.017684865
19.25	68.25	0.015557209
19.75	68.25	0.007590098
20.25	68.25	0.005983456
20.75	68.25	0.007345633
21.25	68.25	0.006763886
21.75	68.25	0.005173437
22.25	68.25	0.00569958
22.75	68.25	0.006770726
23.25	68.25	0.008497258
23.75	68.25	0.009855563
24.25	68.25	0.010543886
24.75	68.25	0.01125012
25.25	68.25	0.012882422
25.75	68.25	0.013311703
26.25	68.25	0.01321841
26.75	68.25	0.012925505
27.25	68.25	0.012305608
27.75	68.25	0.01198458
28.25	68.25	0.011814236
28.75	68.25	0.011265854
29.25	68.25	0.010685419
29.75	68.25	0.01068052
14.25	67.75	0.017954003
14.75	67.75	0.016820076
15.25	67.75	0.017369862
15.75	67.75	0.018739518
16.25	67.75	0.01858778
16.75	67.75	0.018694778
17.25	67.75	0.019176598
17.75	67.75	0.019638344
18.25	67.75	0.018836245
18.75	67.75	0.012614861
19.25	67.75	0.007131063
19.75	67.75	0.004843782
20.25	67.75	0.005091346
20.75	67.75	0.005478809
21.25	67.75	0.005776096
21.75	67.75	0.006715044
22.25	67.75	0.008276669
22.75	67.75	0.009019748
23.25	67.75	0.009489205
23.75	67.75	0.009987167
24.25	67.75	0.010451063
24.75	67.75	0.012145593
25.25	67.75	0.013215207
25.75	67.75	0.013547434
26.25	67.75	0.013976369
26.75	67.75	0.014250982
27.25	67.75	0.013713186
27.75	67.75	0.012675714
28.25	67.75	0.011621673
28.75	67.75	0.011476352
29.25	67.75	0.011061205
29.75	67.75	0.010901529
13.25	67.25	0.021407013
13.75	67.25	0.019146929
14.25	67.25	0.018386662
14.75	67.25	0.018945939
15.25	67.25	0.02250219
15.75	67.25	0.024411779
16.25	67.25	0.022765875
16.75	67.25	0.021342875
17.25	67.25	0.019716588
17.75	67.25	0.01624326
18.25	67.25	0.011049458
18.75	67.25	0.00901959
19.25	67.25	0.009056496
19.75	67.25	0.00857415
20.25	67.25	0.007868811
20.75	67.25	0.007750472
21.25	67.25	0.007713076
21.75	67.25	0.008372504
22.25	67.25	0.00975225
22.75	67.25	0.010832999
23.25	67.25	0.010758312
23.75	67.25	0.010681151
24.25	67.25	0.010550551
24.75	67.25	0.011011073
25.25	67.25	0.01150191
25.75	67.25	0.011994751
26.25	67.25	0.012178614
