Lon	Lat
21.25	62.75
21.25	69.25
21.75	60.75
21.75	61.25
21.75	61.75
21.75	62.25
21.75	62.75
21.75	63.25
21.75	68.75
22.25	60.25
22.25	60.75
22.25	61.25
22.25	61.75
22.25	62.25
22.25	62.75
22.25	63.25
22.25	68.75
22.75	60.25
22.75	60.75
22.75	61.25
22.75	61.75
22.75	62.25
22.75	62.75
22.75	63.25
22.75	63.75
23.25	60.25
23.25	60.75
23.25	61.25
23.25	61.75
23.25	62.25
23.25	62.75
23.25	63.25
23.25	63.75
23.25	68.25
23.75	60.25
23.75	60.75
23.75	61.25
23.75	61.75
23.75	62.25
23.75	62.75
23.75	63.25
23.75	63.75
23.75	64.25
23.75	66.25
23.75	67.25
23.75	67.75
23.75	68.25
23.75	68.75
24.25	60.25
24.25	60.75
24.25	61.25
24.25	61.75
24.25	62.25
24.25	62.75
24.25	63.25
24.25	63.75
24.25	64.25
24.25	65.75
24.25	66.25
24.25	66.75
24.25	67.25
24.25	67.75
24.25	68.25
24.25	68.75
24.75	60.25
24.75	60.75
24.75	61.25
24.75	61.75
24.75	62.25
24.75	62.75
24.75	63.25
24.75	63.75
24.75	64.25
24.75	64.75
24.75	65.75
24.75	66.25
24.75	66.75
24.75	67.25
24.75	67.75
24.75	68.25
25.25	60.25
25.25	60.75
25.25	61.25
25.25	61.75
25.25	62.25
25.25	62.75
25.25	63.25
25.25	63.75
25.25	64.25
25.25	64.75
25.25	65.25
25.25	65.75
25.25	66.25
25.25	66.75
25.25	67.25
25.25	67.75
25.25	68.25
25.25	68.75
25.75	60.25
25.75	60.75
25.75	61.25
25.75	61.75
25.75	62.25
25.75	62.75
25.75	63.25
25.75	63.75
25.75	64.25
25.75	64.75
25.75	65.25
25.75	65.75
25.75	66.25
25.75	66.75
25.75	67.25
25.75	67.75
25.75	68.25
25.75	68.75
25.75	69.25
26.25	60.75
26.25	61.25
26.25	61.75
26.25	62.25
26.25	62.75
26.25	63.25
26.25	63.75
26.25	64.25
26.25	64.75
26.25	65.25
26.25	65.75
26.25	66.25
26.25	66.75
26.25	67.25
26.25	67.75
26.25	68.25
26.25	68.75
26.25	69.25
26.25	69.75
26.75	60.75
26.75	61.25
26.75	61.75
26.75	62.25
26.75	62.75
26.75	63.25
26.75	63.75
26.75	64.25
26.75	64.75
26.75	65.25
26.75	65.75
26.75	66.25
26.75	66.75
26.75	67.25
26.75	67.75
26.75	68.25
26.75	68.75
26.75	69.25
26.75	69.75
27.25	60.75
27.25	61.25
27.25	61.75
27.25	62.25
27.25	62.75
27.25	63.25
27.25	63.75
27.25	64.25
27.25	64.75
27.25	65.25
27.25	65.75
27.25	66.25
27.25	66.75
27.25	67.25
27.25	67.75
27.25	68.25
27.25	68.75
27.25	69.25
27.25	69.75
27.75	60.75
27.75	61.25
27.75	61.75
27.75	62.25
27.75	62.75
27.75	63.25
27.75	63.75
27.75	64.25
27.75	64.75
27.75	65.25
27.75	65.75
27.75	66.25
27.75	66.75
27.75	67.25
27.75	67.75
27.75	68.25
27.75	68.75
27.75	69.25
27.75	69.75
28.25	61.25
28.25	61.75
28.25	62.25
28.25	62.75
28.25	63.25
28.25	63.75
28.25	64.25
28.25	64.75
28.25	65.25
28.25	65.75
28.25	66.25
28.25	66.75
28.25	67.25
28.25	67.75
28.25	68.25
28.25	68.75
28.25	69.25
28.25	69.75
28.75	61.25
28.75	61.75
28.75	62.25
28.75	62.75
28.75	63.25
28.75	63.75
28.75	64.25
28.75	64.75
28.75	65.25
28.75	65.75
28.75	66.25
28.75	66.75
28.75	67.25
28.75	67.75
28.75	68.75
28.75	69.25
28.75	69.75
29.25	61.75
29.25	62.25
29.25	62.75
29.25	63.25
29.25	63.75
29.25	64.25
29.25	64.75
29.25	65.25
29.25	65.75
29.25	66.25
29.25	67.25
29.25	67.75
29.75	61.75
29.75	62.25
29.75	62.75
29.75	63.25
29.75	63.75
29.75	64.25
29.75	64.75
29.75	65.75
29.75	67.75
30.25	62.25
30.25	62.75
30.25	63.25
30.25	64.25
30.75	62.25
30.75	62.75
30.75	63.25
31.25	62.75
