Lon	Lat
14.75	51.75
14.75	52.25
14.75	52.75
14.75	53.25
14.75	53.75
15.25	51.25
15.25	51.75
15.25	52.25
15.25	52.75
15.25	53.25
15.25	53.75
15.75	51.25
15.75	51.75
15.75	52.25
15.75	52.75
15.75	53.25
15.75	53.75
15.75	54.25
16.25	50.75
16.25	51.25
16.25	51.75
16.25	52.25
16.25	52.75
16.25	53.25
16.25	53.75
16.25	54.25
16.75	50.25
16.75	50.75
16.75	51.25
16.75	51.75
16.75	52.25
16.75	52.75
16.75	53.25
16.75	53.75
16.75	54.25
17.25	50.75
17.25	51.25
17.25	51.75
17.25	52.25
17.25	52.75
17.25	53.25
17.25	53.75
17.25	54.25
17.25	54.75
17.75	50.75
17.75	51.25
17.75	51.75
17.75	52.25
17.75	52.75
17.75	53.25
17.75	53.75
17.75	54.25
17.75	54.75
18.25	50.25
18.25	50.75
18.25	51.25
18.25	51.75
18.25	52.25
18.25	52.75
18.25	53.25
18.25	53.75
18.25	54.25
18.25	54.75
18.75	49.75
18.75	50.25
18.75	50.75
18.75	51.25
18.75	51.75
18.75	52.25
18.75	52.75
18.75	53.25
18.75	53.75
18.75	54.25
19.25	49.75
19.25	50.25
19.25	50.75
19.25	51.25
19.25	51.75
19.25	52.25
19.25	52.75
19.25	53.25
19.25	53.75
19.25	54.25
19.75	49.75
19.75	50.25
19.75	50.75
19.75	51.25
19.75	51.75
19.75	52.25
19.75	52.75
19.75	53.25
19.75	53.75
19.75	54.25
20.25	49.75
20.25	50.25
20.25	50.75
20.25	51.25
20.25	51.75
20.25	52.25
20.25	52.75
20.25	53.25
20.25	53.75
20.25	54.25
20.75	49.75
20.75	50.25
20.75	50.75
20.75	51.25
20.75	51.75
20.75	52.25
20.75	52.75
20.75	53.25
20.75	53.75
20.75	54.25
21.25	49.75
21.25	50.25
21.25	50.75
21.25	51.25
21.25	51.75
21.25	52.25
21.25	52.75
21.25	53.25
21.25	53.75
21.25	54.25
21.75	49.75
21.75	50.25
21.75	50.75
21.75	51.25
21.75	51.75
21.75	52.25
21.75	52.75
21.75	53.25
21.75	53.75
21.75	54.25
22.25	49.25
22.25	49.75
22.25	50.25
22.25	50.75
22.25	51.25
22.25	51.75
22.25	52.25
22.25	52.75
22.25	53.25
22.25	53.75
22.25	54.25
22.75	49.75
22.75	50.25
22.75	50.75
22.75	51.25
22.75	51.75
22.75	52.25
22.75	52.75
22.75	53.25
22.75	53.75
22.75	54.25
23.25	50.25
23.25	50.75
23.25	51.25
23.25	51.75
23.25	52.75
23.25	53.25
23.25	53.75
23.25	54.25
23.75	50.75
23.75	52.75
23.75	53.25
