Lon	Lat
-16.75	28.25
-8.75	42.25
-8.75	42.75
-8.75	43.25
-8.25	42.25
-8.25	42.75
-8.25	43.25
-7.75	42.25
-7.75	42.75
-7.75	43.25
-7.75	43.75
-7.25	37.25
-7.25	37.75
-7.25	42.25
-7.25	42.75
-7.25	43.25
-6.75	37.25
-6.75	37.75
-6.75	38.25
-6.75	38.75
-6.75	39.25
-6.75	39.75
-6.75	40.25
-6.75	40.75
-6.75	42.25
-6.75	42.75
-6.75	43.25
-6.25	36.75
-6.25	37.25
-6.25	37.75
-6.25	38.25
-6.25	38.75
-6.25	39.25
-6.25	39.75
-6.25	40.25
-6.25	40.75
-6.25	41.25
-6.25	41.75
-6.25	42.25
-6.25	42.75
-6.25	43.25
-5.75	36.25
-5.75	36.75
-5.75	37.25
-5.75	37.75
-5.75	38.25
-5.75	38.75
-5.75	39.25
-5.75	39.75
-5.75	40.25
-5.75	40.75
-5.75	41.25
-5.75	41.75
-5.75	42.25
-5.75	42.75
-5.75	43.25
-5.25	36.25
-5.25	36.75
-5.25	37.25
-5.25	37.75
-5.25	38.25
-5.25	38.75
-5.25	39.25
-5.25	39.75
-5.25	40.25
-5.25	40.75
-5.25	41.25
-5.25	41.75
-5.25	42.25
-5.25	42.75
-5.25	43.25
-4.75	36.75
-4.75	37.25
-4.75	37.75
-4.75	38.25
-4.75	38.75
-4.75	39.25
-4.75	39.75
-4.75	40.25
-4.75	40.75
-4.75	41.25
-4.75	41.75
-4.75	42.25
-4.75	42.75
-4.75	43.25
-4.25	36.75
-4.25	37.25
-4.25	37.75
-4.25	38.25
-4.25	38.75
-4.25	39.25
-4.25	39.75
-4.25	40.25
-4.25	40.75
-4.25	41.25
-4.25	41.75
-4.25	42.25
-4.25	42.75
-4.25	43.25
-3.75	36.75
-3.75	37.25
-3.75	37.75
-3.75	38.25
-3.75	38.75
-3.75	39.25
-3.75	39.75
-3.75	40.25
-3.75	40.75
-3.75	41.25
-3.75	41.75
-3.75	42.25
-3.75	42.75
-3.75	43.25
-3.25	36.75
-3.25	37.25
-3.25	37.75
-3.25	38.25
-3.25	38.75
-3.25	39.25
-3.25	39.75
-3.25	40.25
-3.25	40.75
-3.25	41.25
-3.25	41.75
-3.25	42.25
-3.25	42.75
-3.25	43.25
-2.75	36.75
-2.75	37.25
-2.75	37.75
-2.75	38.25
-2.75	38.75
-2.75	39.25
-2.75	39.75
-2.75	40.25
-2.75	40.75
-2.75	41.25
-2.75	41.75
-2.75	42.25
-2.75	42.75
-2.75	43.25
-2.25	36.75
-2.25	37.25
-2.25	37.75
-2.25	38.25
-2.25	38.75
-2.25	39.25
-2.25	39.75
-2.25	40.25
-2.25	40.75
-2.25	41.25
-2.25	41.75
-2.25	42.25
-2.25	42.75
-2.25	43.25
-1.75	37.25
-1.75	37.75
-1.75	38.25
-1.75	38.75
-1.75	39.25
-1.75	39.75
-1.75	40.25
-1.75	40.75
-1.75	41.25
-1.75	41.75
-1.75	42.25
-1.75	42.75
-1.75	43.25
-1.25	37.75
-1.25	38.25
-1.25	38.75
-1.25	39.25
-1.25	39.75
-1.25	40.25
-1.25	40.75
-1.25	41.25
-1.25	41.75
-1.25	42.25
-1.25	42.75
-0.75	37.75
-0.75	38.25
-0.75	38.75
-0.75	39.25
-0.75	39.75
-0.75	40.25
-0.75	40.75
-0.75	41.25
-0.75	41.75
-0.75	42.25
-0.75	42.75
-0.25	38.75
-0.25	39.25
-0.25	39.75
-0.25	40.25
-0.25	40.75
-0.25	41.25
-0.25	41.75
-0.25	42.25
-0.25	42.75
0.25	40.25
0.25	40.75
0.25	41.25
0.25	41.75
0.25	42.25
0.75	40.75
0.75	41.25
0.75	41.75
0.75	42.25
0.75	42.75
1.25	41.25
1.25	41.75
1.25	42.25
1.75	41.25
1.75	41.75
1.75	42.25
2.25	41.75
2.25	42.25
2.75	39.75
2.75	41.75
2.75	42.25
3.25	39.75
