Lon	Lat
11.25	58.75
11.75	57.75
11.75	58.25
11.75	58.75
12.25	57.25
12.25	57.75
12.25	58.25
12.25	58.75
12.25	59.25
12.25	59.75
12.25	61.75
12.25	62.75
12.25	63.25
12.75	55.75
12.75	56.25
12.75	56.75
12.75	57.25
12.75	57.75
12.75	58.25
12.75	59.25
12.75	59.75
12.75	60.25
12.75	60.75
12.75	61.75
12.75	62.25
12.75	62.75
12.75	63.25
12.75	63.75
13.25	55.75
13.25	56.25
13.25	56.75
13.25	57.25
13.25	57.75
13.25	58.25
13.25	59.25
13.25	59.75
13.25	60.25
13.25	60.75
13.25	61.25
13.25	61.75
13.25	62.25
13.25	62.75
13.25	63.25
13.25	63.75
13.75	55.75
13.75	56.25
13.75	56.75
13.75	57.25
13.75	57.75
13.75	58.25
13.75	58.75
13.75	59.75
13.75	60.25
13.75	60.75
13.75	61.25
13.75	61.75
13.75	62.25
13.75	62.75
13.75	63.25
13.75	63.75
14.25	55.75
14.25	56.25
14.25	56.75
14.25	57.25
14.25	57.75
14.25	58.25
14.25	58.75
14.25	59.25
14.25	59.75
14.25	60.25
14.25	60.75
14.25	61.25
14.25	61.75
14.25	62.25
14.25	62.75
14.25	63.25
14.25	63.75
14.25	64.25
14.25	64.75
14.75	56.25
14.75	56.75
14.75	57.25
14.75	57.75
14.75	58.25
14.75	58.75
14.75	59.25
14.75	59.75
14.75	60.25
14.75	60.75
14.75	61.25
14.75	61.75
14.75	62.25
14.75	62.75
14.75	63.25
14.75	63.75
14.75	64.25
14.75	64.75
14.75	65.25
14.75	65.75
15.25	56.25
15.25	56.75
15.25	57.25
15.25	57.75
15.25	58.25
15.25	58.75
15.25	59.25
15.25	59.75
15.25	60.25
15.25	60.75
15.25	61.25
15.25	61.75
15.25	62.25
15.25	62.75
15.25	63.25
15.25	63.75
15.25	64.25
15.25	64.75
15.25	65.25
15.25	65.75
15.75	56.25
15.75	56.75
15.75	57.25
15.75	57.75
15.75	58.25
15.75	58.75
15.75	59.25
15.75	59.75
15.75	60.25
15.75	60.75
15.75	61.25
15.75	61.75
15.75	62.25
15.75	62.75
15.75	63.25
15.75	63.75
15.75	64.25
15.75	64.75
15.75	65.25
15.75	65.75
15.75	66.25
16.25	56.75
16.25	57.25
16.25	57.75
16.25	58.25
16.25	58.75
16.25	59.25
16.25	59.75
16.25	60.25
16.25	60.75
16.25	61.25
16.25	61.75
16.25	62.25
16.25	62.75
16.25	63.25
16.25	63.75
16.25	64.25
16.25	64.75
16.25	65.25
16.25	65.75
16.25	66.25
16.25	66.75
16.75	56.75
16.75	58.25
16.75	58.75
16.75	59.25
16.75	59.75
16.75	60.25
16.75	60.75
16.75	61.25
16.75	61.75
16.75	62.25
16.75	62.75
16.75	63.25
16.75	63.75
16.75	64.25
16.75	64.75
16.75	65.25
16.75	65.75
16.75	66.25
16.75	66.75
16.75	67.25
16.75	67.75
17.25	58.75
17.25	59.25
17.25	59.75
17.25	60.25
17.25	60.75
17.25	61.75
17.25	62.25
17.25	62.75
17.25	63.25
17.25	63.75
17.25	64.25
17.25	64.75
17.25	65.25
17.25	65.75
17.25	66.25
17.25	66.75
17.25	67.25
17.25	67.75
17.75	59.25
17.75	59.75
17.75	60.25
17.75	62.75
17.75	63.25
17.75	63.75
17.75	64.25
17.75	64.75
17.75	65.25
17.75	65.75
17.75	66.25
17.75	66.75
17.75	67.25
17.75	67.75
18.25	57.25
18.25	59.25
18.25	59.75
18.25	60.25
18.25	62.75
18.25	63.25
18.25	63.75
18.25	64.25
18.25	64.75
18.25	65.25
18.25	65.75
18.25	66.25
18.25	66.75
18.25	67.25
18.25	67.75
18.25	68.25
18.75	57.75
18.75	59.75
18.75	63.25
18.75	63.75
18.75	64.25
18.75	64.75
18.75	65.25
18.75	65.75
18.75	66.25
18.75	66.75
18.75	67.25
18.75	67.75
18.75	68.25
19.25	63.75
19.25	64.25
19.25	64.75
19.25	65.25
19.25	65.75
19.25	66.25
19.25	66.75
19.25	67.25
19.25	67.75
19.25	68.25
19.75	63.75
19.75	64.25
19.75	64.75
19.75	65.25
19.75	65.75
19.75	66.25
19.75	66.75
19.75	67.25
19.75	67.75
19.75	68.25
20.25	63.75
20.25	64.25
20.25	64.75
20.25	65.25
20.25	65.75
20.25	66.25
20.25	66.75
20.25	67.25
20.25	67.75
20.25	68.25
20.75	64.25
20.75	64.75
20.75	65.25
20.75	65.75
20.75	66.25
20.75	66.75
20.75	67.25
20.75	67.75
20.75	68.25
20.75	68.75
21.25	64.25
21.25	64.75
21.25	65.25
21.25	65.75
21.25	66.25
21.25	66.75
21.25	67.25
21.25	67.75
21.25	68.25
21.25	68.75
21.75	65.75
21.75	66.25
21.75	66.75
21.75	67.25
21.75	67.75
21.75	68.25
22.25	65.75
22.25	66.25
22.25	66.75
22.25	67.25
22.25	67.75
22.25	68.25
22.75	65.75
22.75	66.25
22.75	66.75
22.75	67.25
22.75	67.75
22.75	68.25
23.25	65.75
23.25	66.25
23.25	66.75
23.25	67.25
23.25	67.75
23.75	66.75
